first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Aaron,4260059589824237,2019-01-01 00:22:18,"fraud_Nitzsche, Kessler and Wolff",4.02,969 Huerta Path Apt. 270,Valentine,NE,20490f3f0966ce74b4aaba8dc2c4ed52,42.47559,-101.265846,0
Aaron,376028110684021,2019-01-01 01:02:16,fraud_Wolf Inc,89.11,624 Hale Springs Apt. 572,Meadville,MO,1cb03ad950bab1ca74b02500644ec1ba,40.773306,-92.821257,0
Aaron,4958589671582726883,2019-01-01 01:38:31,fraud_Powlowski-Weimann,187.27,793 Hooper Tunnel Suite 154,Burke,VA,5476b80d8bdaa67fea1537b64eeb1f15,38.301944,-76.507232,0
Aaron,4958589671582726883,2019-01-01 02:43:50,"fraud_Lockman, West and Runte",79.96,793 Hooper Tunnel Suite 154,Burke,VA,81581c7d84dab0fd6f492fc274fdeb57,38.293496000000005,-77.544774,0
Aaron,376028110684021,2019-01-01 07:39:00,fraud_Harris Inc,68.85,624 Hale Springs Apt. 572,Meadville,MO,f555a9523ee3b2dcb0bdb6ed459deb03,38.795002,-94.219522,0
Aaron,4958589671582726883,2019-01-01 10:48:26,fraud_Rempel PLC,55.95,793 Hooper Tunnel Suite 154,Burke,VA,dd678f60720c82d31378270dbe55f0da,38.465027,-78.069149,0
Aaron,376028110684021,2019-01-01 12:04:54,fraud_Schimmel-Olson,47.96,624 Hale Springs Apt. 572,Meadville,MO,522e4b449157a7b1e1b25a1710bca3d4,39.206677,-93.033773,0
Aaron,376028110684021,2019-01-01 13:14:46,fraud_Kub-Heaney,77.51,624 Hale Springs Apt. 572,Meadville,MO,38c33070fc07654c5b17d81704baded1,40.759427,-93.539051,0
Aaron,4228411452607671,2019-01-01 13:28:46,fraud_Botsford Ltd,8.5,400 Zuniga Pine,Winthrop,ME,c6b46e9795aa4aef2903bc4324ca7d3d,43.62254,-70.062085,0
Aaron,376028110684021,2019-01-01 18:14:30,fraud_Kessler Inc,461.28,624 Hale Springs Apt. 572,Meadville,MO,b0c876de8b09c9879fe1c61d7495a02e,39.656496,-92.400368,0
Aaron,4228411452607671,2019-01-01 18:28:56,"fraud_Lehner, Reichert and Mills",11.64,400 Zuniga Pine,Winthrop,ME,db49055d729ff0c6da94070c94c3a544,45.202294,-69.74502,0
Aaron,4958589671582726883,2019-01-01 19:06:37,fraud_Erdman-Schaden,1.24,793 Hooper Tunnel Suite 154,Burke,VA,54b1d77b9ee6639da427de1bad7b1fc7,39.445429,-76.67349399999999,0
Aaron,376028110684021,2019-01-01 20:02:20,"fraud_Torp, Muller and Borer",71.62,624 Hale Springs Apt. 572,Meadville,MO,1178f236bbf9ada6fcc79ac89567c202,40.146224,-94.021024,0
Aaron,376028110684021,2019-01-01 21:52:04,fraud_Friesen Ltd,73.34,624 Hale Springs Apt. 572,Meadville,MO,cc1f80dd32590651843a441568c30bc8,40.54555,-93.579812,0
Aaron,4958589671582726883,2019-01-02 00:19:19,"fraud_Feil, Hilpert and Koss",108.77,793 Hooper Tunnel Suite 154,Burke,VA,f6d44e5ce3880a8b7a3237ede62f1d8f,38.428421,-78.076652,0
