first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Adam,213156747557083,2019-01-01 04:56:01,fraud_Cummerata-Jones,55.99,725 Jo Trace Apt. 102,Glendale,CA,011d132dc3afd3480fd36cb5f3d2b09b,33.778002,-119.013484,0
Adam,213156747557083,2019-01-01 11:29:46,fraud_Prohaska-Murray,66.16,725 Jo Trace Apt. 102,Glendale,CA,46516eaf549beddb1e19c1f4e8b5a35d,34.917214,-117.79828899999998,0
Adam,4223708906367574214,2019-01-01 12:49:38,fraud_Gulgowski LLC,64.61,27718 Mason Bypass,Mount Saint Joseph,OH,9bb8131db639f2ee0431b88b31a54624,38.501224,-83.836043,0
Adam,6011366578560244,2019-01-01 15:12:57,fraud_Bernhard-Lesch,41.2,0912 Mark Fields Apt. 080,Mc Veytown,PA,b7d48dbecf1a6a079101e0f1b92f9ca5,40.555545,-78.715162,0
Adam,4223708906367574214,2019-01-01 17:30:30,fraud_Gulgowski LLC,81.25,27718 Mason Bypass,Mount Saint Joseph,OH,fc90511abf756c12f6a0a214c21a42c2,39.051227,-84.596666,0
Adam,4223708906367574214,2019-01-01 17:38:35,fraud_Kutch-Ferry,77.97,27718 Mason Bypass,Mount Saint Joseph,OH,342b79d917902dc964129cce67f2fe70,39.544428,-84.696507,0
Adam,4223708906367574214,2019-01-01 18:11:43,"fraud_Conroy, Balistreri and Gorczany",74.4,27718 Mason Bypass,Mount Saint Joseph,OH,4c246a02ed0ffbdf844b5004840b9d4a,38.3343,-85.307191,0
Adam,6011366578560244,2019-01-01 19:47:08,"fraud_Mante, Luettgen and Hackett",25.28,0912 Mark Fields Apt. 080,Mc Veytown,PA,92f84e0d58bd43bbe8534d41c9720d9b,41.344883,-78.218023,0
Adam,213156747557083,2019-01-01 20:04:15,fraud_Buckridge PLC,6.83,725 Jo Trace Apt. 102,Glendale,CA,793c454ac9541d35eccfb18fc1a6976b,34.626065999999994,-117.819422,0
Adam,4917226033950,2019-01-01 21:13:52,"fraud_Pouros, Walker and Spencer",22.54,32600 Cobb Curve,Sardis,AL,3b99079202a50bb1d64f7d34e2905625,32.966746,-87.263207,0
Adam,213156747557083,2019-01-01 21:28:54,fraud_Marvin-Lind,33.78,725 Jo Trace Apt. 102,Glendale,CA,1b6af0e4209b3bb44d9e82a4255b3f46,34.752621000000005,-118.221602,0
Adam,4223708906367574214,2019-01-01 21:40:17,fraud_Stiedemann Ltd,53.11,27718 Mason Bypass,Mount Saint Joseph,OH,7b501fee4d11bf0961756e8b289c44e6,38.503599,-85.371837,0
Adam,3566875419572867,2019-01-01 22:21:30,"fraud_Streich, Rolfson and Wilderman",45.12,997 Cameron Meadow Apt. 980,South Hero,VT,0465cf26d57764d97e718b27787a888a,43.728417,-74.195392,0
Adam,6011366578560244,2019-01-01 23:44:56,"fraud_Mosciski, Ziemann and Farrell",6.23,0912 Mark Fields Apt. 080,Mc Veytown,PA,ba277f9deec42a5a9066c4c0c7e04b51,39.919464000000005,-78.058174,0
Adam,4223708906367574214,2019-01-01 23:51:12,fraud_Gulgowski LLC,87.34,27718 Mason Bypass,Mount Saint Joseph,OH,b314c351a49a4fc14dbeb12646d3c602,38.558885,-84.604506,0
Adam,6011366578560244,2019-01-02 00:32:50,fraud_Parisian and Sons,50.72,0912 Mark Fields Apt. 080,Mc Veytown,PA,e70fc6b1ff21efa6e6f5d04f361c87c4,41.414569,-78.291647,0
Adam,213156747557083,2019-01-02 08:15:50,fraud_Cole PLC,68.32,725 Jo Trace Apt. 102,Glendale,CA,a46ad9c70e7f2905ee2bc789f3221ba8,34.009951,-118.365371,0
Adam,4223708906367574214,2019-01-02 09:17:47,"fraud_Kovacek, Dibbert and Ondricka",113.57,27718 Mason Bypass,Mount Saint Joseph,OH,d1bebfcc20dd21b21ca244fc66046834,39.107069,-84.20166800000001,0
Adam,6011366578560244,2019-01-02 17:46:27,"fraud_Jones, Sawayn and Romaguera",9.48,0912 Mark Fields Apt. 080,Mc Veytown,PA,a6e4d150254d5969f5c2030d0e1c78a0,39.897642,-78.47283900000001,0
Adam,4223708906367574214,2019-01-02 19:20:17,"fraud_Ledner, Hartmann and Feest",73.57,27718 Mason Bypass,Mount Saint Joseph,OH,561079616e6c49a544586ae714440773,39.876877,-84.032539,0
Adam,213125815021702,2019-01-02 21:45:36,fraud_Shanahan-Lehner,100.98,40847 Stark Junctions,Big Indian,NY,4ab66e600e9b79f4b5148598a5bc745e,41.501547,-74.325621,0
Adam,3566875419572867,2019-01-02 22:15:25,"fraud_Hagenes, Kohler and Hoppe",51.44,997 Cameron Meadow Apt. 980,South Hero,VT,c01d77d7215c62c3c15682459db4d5e8,44.41656,-73.279168,0
Adam,4223708906367574214,2019-01-03 06:25:48,fraud_Auer-Mosciski,91.71,27718 Mason Bypass,Mount Saint Joseph,OH,030940d8426e4573a9349386799923d7,38.78935,-84.01084300000001,0
Adam,213125815021702,2019-01-03 09:56:12,"fraud_Jones, Sawayn and Romaguera",2.01,40847 Stark Junctions,Big Indian,NY,7c87bfd7262ea70868bb8128642d1673,41.287006,-74.136156,0
Adam,6011366578560244,2019-01-03 11:22:16,"fraud_Jenkins, Hauck and Friesen",66.73,0912 Mark Fields Apt. 080,Mc Veytown,PA,5955ef2343aaf6fd7455faa47c627e26,40.427864,-77.748825,0
Adam,3566875419572867,2019-01-03 13:13:31,fraud_Shields-Wunsch,76.21,997 Cameron Meadow Apt. 980,South Hero,VT,6609e3d5f0e2e3f0526f03e57b2fb0bf,44.33757,-73.811461,0
Adam,4223708906367574214,2019-01-03 13:48:10,fraud_Jerde-Hermann,602.65,27718 Mason Bypass,Mount Saint Joseph,OH,daf5b06ec9764c8b97088fca53dfffde,39.401913,-85.442546,0
Adam,213125815021702,2019-01-03 18:26:34,"fraud_Hahn, Douglas and Schowalter",28.76,40847 Stark Junctions,Big Indian,NY,7ba0dc3f57d8cce5972b5aed41ab1043,41.526756,-73.547678,0
Adam,213125815021702,2019-01-03 18:31:44,"fraud_Torp, Muller and Borer",17.21,40847 Stark Junctions,Big Indian,NY,427cb26ced43b3f328d4aed80a29b4af,41.663589,-75.058644,0
Adam,3566875419572867,2019-01-03 19:10:56,fraud_Spencer PLC,59.24,997 Cameron Meadow Apt. 980,South Hero,VT,18769c26f3a3b8aac8113d8176466d80,44.342233,-73.22712800000001,0
Adam,6011366578560244,2019-01-03 19:13:41,"fraud_Schiller, Blanda and Johnson",37.8,0912 Mark Fields Apt. 080,Mc Veytown,PA,b8e7289c66e6526d45c5839bfe70f7e8,39.8589,-77.392878,0
Adam,4223708906367574214,2019-01-03 22:06:04,fraud_Beer-Jast,46.12,27718 Mason Bypass,Mount Saint Joseph,OH,472314cf23507a08fa14a6dd9d1046c8,39.866079,-85.552824,0
Adam,4917226033950,2019-01-03 23:58:04,fraud_Little Ltd,30.34,32600 Cobb Curve,Sardis,AL,8c93c0eb721f2ca052cfd4d52a29e3c8,32.667667,-87.738626,0
Adam,3566875419572867,2019-01-04 02:56:10,"fraud_Casper, Hand and Zulauf",108.49,997 Cameron Meadow Apt. 980,South Hero,VT,1d4a67a2193211010c0e28bf61f82eac,44.275731,-74.27188699999999,0
