first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Adriana,3565196229855512,2019-01-01 22:07:29,fraud_Gerhold LLC,64.75,715 Joy Prairie,Unionville,MO,72e2d9a0fb2b45d32cd8b13109e4e82d,40.259567,-92.953913,0
Adriana,3565196229855512,2019-01-02 01:16:49,"fraud_Haley, Jewess and Bechtelar",6.86,715 Joy Prairie,Unionville,MO,b6b0a9be3bc88351797f37e42840f949,41.265211,-93.827151,0
Adriana,3565196229855512,2019-01-03 00:57:34,fraud_Bruen-Yost,136.83,715 Joy Prairie,Unionville,MO,fd45f9fdf3a048de26e941584b114ef8,39.513101,-92.748525,0
Adriana,3565196229855512,2019-01-03 05:00:54,"fraud_Watsica, Haag and Considine",5.03,715 Joy Prairie,Unionville,MO,138bad589d1ea6509b58e7455723c303,41.384988,-93.797581,0
Adriana,3565196229855512,2019-01-03 05:03:45,"fraud_Harris, Gusikowski and Heaney",68.14,715 Joy Prairie,Unionville,MO,cfbbd4bb391e2cbc122c4ebafcc6f98c,39.991386,-92.117676,0
Adriana,3565196229855512,2019-01-04 20:31:42,"fraud_Eichmann, Hayes and Treutel",28.87,715 Joy Prairie,Unionville,MO,f507d661e8adefbca1928cadccdbd3f4,39.71404,-93.975043,0
Adriana,3565196229855512,2019-01-05 00:35:24,"fraud_Jones, Sawayn and Romaguera",20.02,715 Joy Prairie,Unionville,MO,a3eb91d3b689b5b0c4759e0f653b0ed8,40.761089,-92.040368,0
Adriana,3565196229855512,2019-01-06 09:02:57,fraud_Emard Inc,69.94,715 Joy Prairie,Unionville,MO,15664e8a4e8876b36589e6f1b4dc016a,41.257004,-92.558036,0
Adriana,3565196229855512,2019-01-10 19:12:16,fraud_Schoen-Quigley,26.12,715 Joy Prairie,Unionville,MO,0fd43a6be2d5a25c72a9d7fe2d439797,41.015796,-92.796424,0
Adriana,3565196229855512,2019-01-11 19:30:59,fraud_Lynch-Mohr,9.24,715 Joy Prairie,Unionville,MO,4f6d42d02ead5b97f4d455aa5194a3c3,40.487701,-92.288597,0
Adriana,3565196229855512,2019-01-12 05:16:28,"fraud_Boehm, Block and Jakubowski",241.95,715 Joy Prairie,Unionville,MO,2ea940495463ef3dda2ad3173b89a883,40.893007,-93.813484,0
Adriana,3565196229855512,2019-01-12 08:23:12,fraud_Hackett-Lueilwitz,93.39,715 Joy Prairie,Unionville,MO,db6a9b7ced99cb79b6ec78c6301db38a,39.603269,-93.34132,0
Adriana,3565196229855512,2019-01-13 02:21:53,fraud_Huels-Hahn,79.53,715 Joy Prairie,Unionville,MO,7cd880df5e33ebb052ffc06db7e2420d,39.833173,-93.318525,0
Adriana,3565196229855512,2019-01-14 00:47:35,fraud_Lemke-Gutmann,31.64,715 Joy Prairie,Unionville,MO,9d3b24bc32bfe98d12989adeb41b8832,40.655447,-93.07449,0
Adriana,3565196229855512,2019-01-14 05:50:23,fraud_Mohr-Bayer,4.63,715 Joy Prairie,Unionville,MO,f1ebc0e37817f80d7a945f900fbb249e,41.447531,-92.18302,0
Adriana,3565196229855512,2019-01-14 21:40:21,"fraud_McLaughlin, Armstrong and Koepp",2.5,715 Joy Prairie,Unionville,MO,741f5daff9888f54a43bfae58b2755bb,41.197871,-92.753711,0
Adriana,3565196229855512,2019-01-15 19:46:29,fraud_Bednar Inc,14.66,715 Joy Prairie,Unionville,MO,a486a19449f2802e4346805168244999,39.704126,-92.329611,0
Adriana,3565196229855512,2019-01-16 06:21:50,"fraud_Nienow, Ankunding and Collier",8.25,715 Joy Prairie,Unionville,MO,60081f3e8995fce8565e8101fcbf9c32,40.26123,-93.761921,0
Adriana,3565196229855512,2019-01-19 02:51:05,fraud_Grimes LLC,5.86,715 Joy Prairie,Unionville,MO,f4dff4fd14a2ff37c8ced580e3ff1775,40.023436,-93.220058,0
Adriana,3565196229855512,2019-01-20 00:44:15,fraud_Bins-Tillman,38.56,715 Joy Prairie,Unionville,MO,f8d305f6cf3728a8f84e2e05aeec1c91,41.206008,-92.840618,0
Adriana,3565196229855512,2019-01-20 10:54:01,fraud_Schmitt Inc,59.23,715 Joy Prairie,Unionville,MO,87a3dc23b8104c2df2391b4d6b4fcfa0,41.469865000000006,-93.668859,0
Adriana,3565196229855512,2019-01-21 01:29:02,fraud_Koss and Sons,72.8,715 Joy Prairie,Unionville,MO,e43689f669871e7ace6b0abe732484e0,40.714222,-93.568791,0
Adriana,3565196229855512,2019-01-21 07:39:06,fraud_Kuhic LLC,936.34,715 Joy Prairie,Unionville,MO,1995c60785d499223f05669edd70e54e,40.274062,-92.676083,0
Adriana,3565196229855512,2019-01-21 12:29:44,fraud_Daugherty LLC,42.17,715 Joy Prairie,Unionville,MO,333538ea035fcf1418fdb960b35fd319,40.580198,-93.430182,0
Adriana,3565196229855512,2019-01-22 00:18:40,"fraud_Connelly, Reichert and Fritsch",93.23,715 Joy Prairie,Unionville,MO,58d980b2db4f0581aaa3e62967072efa,40.527285,-93.859674,0
Adriana,3565196229855512,2019-01-22 00:55:15,fraud_Daugherty-Thompson,50.09,715 Joy Prairie,Unionville,MO,65e7370f473f9b9d75796c8033a7c929,40.387243,-92.224871,0
Adriana,3565196229855512,2019-01-22 04:37:17,fraud_Heller-Langosh,85.86,715 Joy Prairie,Unionville,MO,2008197c179a7890fdff6dea42894a6b,41.03889,-92.395087,0
Adriana,3565196229855512,2019-01-22 16:05:37,"fraud_Gutmann, McLaughlin and Wiza",34.9,715 Joy Prairie,Unionville,MO,855174d6fa0e30888868e0e1ae7a6998,40.047229,-93.956199,0
Adriana,3565196229855512,2019-01-24 16:15:33,fraud_Waters-Cruickshank,114.06,715 Joy Prairie,Unionville,MO,bb8c2a82bd229bd4d0873864dd01775e,40.239084000000005,-93.012323,0
Adriana,3565196229855512,2019-01-26 02:39:21,fraud_Jast and Sons,8.27,715 Joy Prairie,Unionville,MO,53b5e669e88c672af4e9efbc932c9c49,40.879072,-93.111209,0
Adriana,3565196229855512,2019-01-27 11:24:29,fraud_Kuvalis Ltd,69.02,715 Joy Prairie,Unionville,MO,6cec206b78acf1bc145c381b230068b8,40.489131,-92.028041,0
Adriana,3565196229855512,2019-01-27 19:58:07,fraud_Crooks and Sons,61.47,715 Joy Prairie,Unionville,MO,8ac2d2629deeaa54aecfd658093c6db4,40.45418,-92.639454,0
Adriana,3565196229855512,2019-01-28 03:07:39,fraud_Auer-Mosciski,59.16,715 Joy Prairie,Unionville,MO,83dc8e1726a6600478d263d6c6d147f5,40.072707,-93.332603,0
Adriana,3565196229855512,2019-01-28 09:28:21,fraud_Friesen-D'Amore,65.64,715 Joy Prairie,Unionville,MO,51caba3bb3eec35579f6e625678c4293,39.942890000000006,-93.924946,0
Adriana,3565196229855512,2019-01-28 13:49:36,"fraud_Lang, Towne and Schuppe",70.35,715 Joy Prairie,Unionville,MO,57ce194b2bdc2172c0a9550d13fb6105,40.9363,-93.214331,0
Adriana,3565196229855512,2019-01-28 16:21:58,fraud_Reilly and Sons,5.31,715 Joy Prairie,Unionville,MO,7a7e08148a58892247994f9563b98ca4,41.054,-93.241411,0
Adriana,3565196229855512,2019-01-29 00:14:50,fraud_Turner and Sons,3.34,715 Joy Prairie,Unionville,MO,bfe408409a7cad5e295f8d26d5de83e3,40.460462,-93.092877,0
Adriana,3565196229855512,2019-01-29 07:59:48,fraud_Pagac LLC,9.29,715 Joy Prairie,Unionville,MO,d8ec81926927c1fdb3c3881c90950d40,40.889089,-92.147229,0
Adriana,3565196229855512,2019-01-30 11:31:49,fraud_Pagac LLC,62.14,715 Joy Prairie,Unionville,MO,52673bf2092b6b436151485afe7ea302,40.628138,-93.700918,0
Adriana,3565196229855512,2019-01-31 01:15:28,"fraud_Stanton, Jakubowski and Baumbach",293.98,715 Joy Prairie,Unionville,MO,31ddb22ed65d2bc2305f41f6e669410d,41.069981,-92.175399,0
Adriana,3565196229855512,2019-02-01 07:59:15,"fraud_Lockman, West and Runte",59.02,715 Joy Prairie,Unionville,MO,bd6d8e94e21c94a6170f67bf1303e95a,39.962137,-92.423934,0
Adriana,3565196229855512,2019-02-02 00:22:26,fraud_Hackett-Lueilwitz,82.67,715 Joy Prairie,Unionville,MO,6264752fbc2d61ebc9b52217f6c2dc81,40.15395,-93.255327,0
Adriana,3565196229855512,2019-02-03 03:04:15,fraud_Kling Inc,80.28,715 Joy Prairie,Unionville,MO,6937c605aa19d3f296e94e69f1698c10,41.270077,-93.411545,0
Adriana,3565196229855512,2019-02-04 03:09:16,"fraud_Casper, Hand and Zulauf",71.02,715 Joy Prairie,Unionville,MO,0cc1459d3b6da28ba0fd5d5a82fe9bac,41.054183,-92.988896,0
Adriana,3565196229855512,2019-02-04 11:01:30,"fraud_Langosh, Wintheiser and Hyatt",92.11,715 Joy Prairie,Unionville,MO,a6f5b954ff4174c107de70a7eac4af6f,40.242574,-93.815564,0
Adriana,3565196229855512,2019-02-04 16:55:31,fraud_Ruecker-Mayert,89.85,715 Joy Prairie,Unionville,MO,0b0211a03f39511e6a19ae416a2e1eb8,40.261018,-92.54514,0
Adriana,3565196229855512,2019-02-05 10:16:17,fraud_Lockman Ltd,101.72,715 Joy Prairie,Unionville,MO,ddf19a93259b835ef86e54e808e8a27e,40.044094,-93.687528,0
Adriana,3565196229855512,2019-02-06 01:57:57,fraud_Schmitt Inc,59.3,715 Joy Prairie,Unionville,MO,6b104a55b2f649d7349c0b12019922d4,40.602303000000006,-93.600791,0
Adriana,3565196229855512,2019-02-07 06:15:36,fraud_Volkman-Predovic,510.8,715 Joy Prairie,Unionville,MO,c486caabe4fe5e70e33131cbcd9a3e4c,39.581508,-93.439289,0
Adriana,3565196229855512,2019-02-07 10:45:29,"fraud_Labadie, Treutel and Bode",7.07,715 Joy Prairie,Unionville,MO,add731e8b106c6c9b2f808203c3809fe,40.288987,-92.177031,0
Adriana,3565196229855512,2019-02-08 06:59:12,fraud_Bauch-Raynor,83.58,715 Joy Prairie,Unionville,MO,3ea8506ef8a9030e3e3de811f0165721,40.22731,-92.113783,0
Adriana,3565196229855512,2019-02-08 07:04:10,fraud_Kutch-Hegmann,97.97,715 Joy Prairie,Unionville,MO,778d42ab77f38bbc1f7b82ce0b92d903,40.140118,-92.66903,0
Adriana,3565196229855512,2019-02-10 01:25:46,fraud_Botsford Ltd,600.77,715 Joy Prairie,Unionville,MO,c3898f072e005aa03cc26f861e95c410,39.632071,-92.88087,0
Adriana,3565196229855512,2019-02-10 09:35:54,fraud_Friesen-D'Amore,76.75,715 Joy Prairie,Unionville,MO,bb61995d82203d293a1cadbb606cbd55,40.935687,-93.952618,0
Adriana,3565196229855512,2019-02-11 01:01:49,"fraud_Raynor, Reinger and Hagenes",76.41,715 Joy Prairie,Unionville,MO,76242e600661fc966681656603609f7b,40.410461,-93.524148,0
Adriana,3565196229855512,2019-02-12 07:00:42,fraud_Sporer Inc,78.36,715 Joy Prairie,Unionville,MO,001fbd5d634a43e2f1fad10f3ba3dba8,39.812818,-92.700622,0
Adriana,3565196229855512,2019-02-12 08:53:39,fraud_Hills-Witting,171.8,715 Joy Prairie,Unionville,MO,74766b5377c4a0a23029ec36c0e839ab,41.281504,-92.48591,0
Adriana,3565196229855512,2019-02-12 18:32:30,"fraud_Windler, Goodwin and Kovacek",6.32,715 Joy Prairie,Unionville,MO,515d13ca2c504b6423b19883a2b25984,41.31908,-93.863548,0
Adriana,3565196229855512,2019-02-14 01:29:08,"fraud_Kutch, Hermiston and Farrell",78.31,715 Joy Prairie,Unionville,MO,477fd6f3dc245f371a1b1047e6039cc5,41.024216,-93.528449,0
Adriana,3565196229855512,2019-02-15 03:37:44,fraud_Erdman-Kertzmann,78.22,715 Joy Prairie,Unionville,MO,4113270240b2de211bb81dd9df03523d,41.359033,-92.905393,0
Adriana,3565196229855512,2019-02-15 06:28:51,fraud_Douglas-White,134.96,715 Joy Prairie,Unionville,MO,3c575da70f24d253d44abf8b25d8f0b2,40.710565,-93.097491,0
Adriana,3565196229855512,2019-02-15 17:32:21,fraud_Champlin-Casper,60.44,715 Joy Prairie,Unionville,MO,deff505fe1a7ee5db0581309120d4043,41.007554,-92.362588,0
Adriana,3565196229855512,2019-02-16 22:34:09,fraud_Kirlin and Sons,11.3,715 Joy Prairie,Unionville,MO,ddaae9011e876b091658be78912eda78,40.562408000000005,-93.093931,0
Adriana,3565196229855512,2019-02-17 06:19:33,fraud_Barton Inc,92.52,715 Joy Prairie,Unionville,MO,7cf18e664e2908bd16a300ecfd9c86d4,39.670548,-92.376801,0
Adriana,3565196229855512,2019-02-17 07:52:00,fraud_Pfeffer and Sons,1.32,715 Joy Prairie,Unionville,MO,0ea9b5c770a3a4b36d26c5dc9d07df10,40.805886,-92.658169,0
Adriana,3565196229855512,2019-02-18 01:22:11,fraud_Friesen-Stamm,76.32,715 Joy Prairie,Unionville,MO,28a89c2153f27a857c9733966841a832,40.696459,-92.413908,0
Adriana,3565196229855512,2019-02-19 10:01:31,"fraud_Cremin, Hamill and Reichel",6.07,715 Joy Prairie,Unionville,MO,c46d3c37b78d3caf2e593038e8cf824e,39.816964,-92.18241,0
Adriana,3565196229855512,2019-02-21 08:58:52,fraud_Towne LLC,4.59,715 Joy Prairie,Unionville,MO,8af471517741c4a317cc92379d71d352,40.773487,-92.133188,0
Adriana,3565196229855512,2019-02-22 02:53:52,fraud_Stoltenberg-Beatty,4.13,715 Joy Prairie,Unionville,MO,521a43c9edd07bc11d402247645565a0,41.084682,-92.515842,0
Adriana,3565196229855512,2019-02-22 07:30:32,"fraud_Wintheiser, Dietrich and Schimmel",1.11,715 Joy Prairie,Unionville,MO,62045e56a76d7dc6435db4a4c217e08b,41.383143,-93.490942,0
Adriana,3565196229855512,2019-02-24 10:22:24,fraud_Miller-Hauck,98.55,715 Joy Prairie,Unionville,MO,559c2d0a28f53ff9857106cee2072c5e,39.945572,-92.676732,0
Adriana,3565196229855512,2019-02-25 05:13:54,"fraud_Nitzsche, Kessler and Wolff",9.14,715 Joy Prairie,Unionville,MO,8fa9c8cc640a8dabcd00f236faea5a43,40.777215000000005,-92.226715,0
Adriana,3565196229855512,2019-02-25 07:02:15,fraud_Kilback LLC,69.12,715 Joy Prairie,Unionville,MO,94f28a2bbd24381632afe3b7320c2ee4,41.216314,-92.955373,0
Adriana,3565196229855512,2019-02-25 15:41:40,"fraud_Kilback, Nitzsche and Leffler",2.04,715 Joy Prairie,Unionville,MO,c794a0368b924f88d2c9a73224d96c9a,40.288786,-92.120016,0
Adriana,3565196229855512,2019-02-26 00:52:42,"fraud_Raynor, Reinger and Hagenes",77.61,715 Joy Prairie,Unionville,MO,167973b075687f47a172ed3ca121295c,41.384612,-92.92269,0
Adriana,3565196229855512,2019-02-26 01:52:44,fraud_Conroy Ltd,6.61,715 Joy Prairie,Unionville,MO,03c40122c988a25ab5262fcf0f0939bc,40.788206,-93.681025,0
Adriana,3565196229855512,2019-02-26 04:02:46,"fraud_Daugherty, Pouros and Beahan",3.99,715 Joy Prairie,Unionville,MO,5600faa0ae67552d55e6bc9bfcd0e24b,41.369401,-93.109788,0
Adriana,3565196229855512,2019-02-26 17:06:14,fraud_O'Connell-Ullrich,54.37,715 Joy Prairie,Unionville,MO,b1bfc47695866a0288a07d82030f2f8e,39.624368,-93.742631,0
Adriana,3565196229855512,2019-02-26 23:03:41,fraud_Langworth LLC,8.21,715 Joy Prairie,Unionville,MO,ce81c73d3891913af47cc0ba10f1871a,41.036301,-92.305569,0
Adriana,3565196229855512,2019-03-01 15:55:36,"fraud_Torp, Muller and Borer",77.92,715 Joy Prairie,Unionville,MO,f590ee0393a1b7302841230f14005ac0,39.56056,-92.330353,0
Adriana,3565196229855512,2019-03-02 06:11:20,fraud_Abshire PLC,9.51,715 Joy Prairie,Unionville,MO,84396b49095f5f9cc7bce78250b9dacf,40.599566,-93.50995,0
Adriana,3565196229855512,2019-03-02 11:44:21,fraud_Padberg-Welch,95.51,715 Joy Prairie,Unionville,MO,6c1df00af2e39becc8a0e064e424f67c,41.123544,-92.98173,0
Adriana,3565196229855512,2019-03-03 00:03:19,"fraud_Kohler, Lindgren and Koelpin",101.97,715 Joy Prairie,Unionville,MO,d53d3b560cd5ca15e474c9bb0b9d1d5b,39.853783,-92.292837,0
Adriana,3565196229855512,2019-03-03 08:11:17,fraud_Harris Group,34.95,715 Joy Prairie,Unionville,MO,582cd2e0dddb800b4e7b7fdd877aa244,39.575906,-92.764791,0
Adriana,3565196229855512,2019-03-03 14:17:08,fraud_Erdman-Durgan,7.37,715 Joy Prairie,Unionville,MO,208c4f97ed353d5c9695fb80e930177f,39.911294,-92.005741,0
Adriana,3565196229855512,2019-03-03 17:53:16,"fraud_Kunze, Larkin and Mayert",3.93,715 Joy Prairie,Unionville,MO,c3286205cf093b6cf8660372017c2bc5,41.410535,-92.189374,0
Adriana,3565196229855512,2019-03-04 02:29:57,fraud_Prohaska-Murray,51.83,715 Joy Prairie,Unionville,MO,14956a7296a2e420ee5466665397c4d6,39.519205,-92.197072,0
Adriana,3565196229855512,2019-03-04 02:47:24,fraud_Boyer-Reichert,4.69,715 Joy Prairie,Unionville,MO,c1b6339eacda74c8b1ccc2b82b476f25,41.071924,-93.400617,0
Adriana,3565196229855512,2019-03-04 09:00:56,"fraud_Terry, Johns and Bins",101.35,715 Joy Prairie,Unionville,MO,38e1103a7b4490d26bc6c2499feede8b,39.913633,-93.937926,0
Adriana,3565196229855512,2019-03-04 15:15:24,fraud_Bartoletti and Sons,23.73,715 Joy Prairie,Unionville,MO,232890a070dc173a07028dd99272fbf9,41.343489,-92.409633,0
Adriana,3565196229855512,2019-03-04 21:42:47,"fraud_O'Connell, Botsford and Hand",24.7,715 Joy Prairie,Unionville,MO,9272f107077bdc81c1a7b5841b33338b,41.349497,-92.709012,0
Adriana,3565196229855512,2019-03-05 03:43:36,fraud_Howe Ltd,93.94,715 Joy Prairie,Unionville,MO,c3d6b5d759e3b6c55b68564763abe272,40.160284,-93.21191,0
Adriana,3565196229855512,2019-03-05 04:41:40,fraud_Gislason Group,4.69,715 Joy Prairie,Unionville,MO,8f00f222b6ca6a32575b400b79e5d7cc,40.728797,-92.504508,0
Adriana,3565196229855512,2019-03-05 04:56:38,"fraud_Wiza, Schaden and Stark",2.1,715 Joy Prairie,Unionville,MO,67cb81c9e57c76a36ca6f905ae0c3608,40.189437,-92.779581,0
Adriana,3565196229855512,2019-03-05 08:04:30,fraud_Goodwin-Nitzsche,73.04,715 Joy Prairie,Unionville,MO,979bac9029d3e7ad528e61a3f5e72058,40.615326,-93.439886,0
Adriana,3565196229855512,2019-03-07 23:42:30,"fraud_Hills, Hegmann and Schaefer",135.09,715 Joy Prairie,Unionville,MO,541f03bc6215109691c7dcf0b094a8e5,40.200423,-92.830314,0
Adriana,3565196229855512,2019-03-08 16:39:29,fraud_Swift PLC,53.41,715 Joy Prairie,Unionville,MO,d1fb91b3696fdd5cf8f1615e0f10336b,41.481009,-92.47518,0
Adriana,3565196229855512,2019-03-09 03:46:42,fraud_Friesen-D'Amore,63.47,715 Joy Prairie,Unionville,MO,f90f803b87d2e14d3d29dd7f0fb53d9b,40.167685,-93.478826,0
Adriana,3565196229855512,2019-03-09 08:39:08,"fraud_Reichert, Shanahan and Hayes",85.0,715 Joy Prairie,Unionville,MO,7b33ad6dcc0d99a731b24715ffe42eb4,40.58845,-93.655596,0
Adriana,3565196229855512,2019-03-10 02:47:12,"fraud_Parker, Nolan and Trantow",3.44,715 Joy Prairie,Unionville,MO,1d1dc0e181ba8b322b5be2f87443fe93,41.3589,-92.018621,0
Adriana,3565196229855512,2019-03-10 07:10:58,"fraud_Quitzon, Green and Bashirian",8.15,715 Joy Prairie,Unionville,MO,3815385a258e11bf7fe4cb3cc7746717,40.939217,-93.124485,0
Adriana,3565196229855512,2019-03-10 11:08:20,fraud_Morissette LLC,11.77,715 Joy Prairie,Unionville,MO,298b86e7575621cba22e30da09fa3f88,39.948243,-92.740476,0
Adriana,3565196229855512,2019-03-11 13:12:32,fraud_Ebert-Daugherty,9.36,715 Joy Prairie,Unionville,MO,e755878ab40e36c7601b598ee4c86567,40.107376,-93.649858,0
Adriana,3565196229855512,2019-03-11 16:37:52,"fraud_Lubowitz, Terry and Stracke",154.41,715 Joy Prairie,Unionville,MO,e842c2a25e358e1061797c25023a6168,39.857652,-92.965391,0
Adriana,3565196229855512,2019-03-11 22:34:10,fraud_Gleason and Sons,30.78,715 Joy Prairie,Unionville,MO,b99726ab99b20860115095a42d67c731,40.213082,-93.478939,0
Adriana,3565196229855512,2019-03-14 05:53:01,fraud_Barrows PLC,292.08,715 Joy Prairie,Unionville,MO,8c0cf9330b4801747d2be39ed680532a,41.004312,-93.133866,0
Adriana,3565196229855512,2019-03-15 16:19:47,fraud_Kutch-Wilderman,109.58,715 Joy Prairie,Unionville,MO,732fce430eafced29c3767251a421a23,41.06721,-93.693489,0
Adriana,3565196229855512,2019-03-16 22:31:58,fraud_Kutch-Wilderman,173.17,715 Joy Prairie,Unionville,MO,e972f2f64017d0acf49eadd494c57133,39.771783,-92.590191,0
Adriana,3565196229855512,2019-03-17 03:53:49,fraud_Auer-Mosciski,87.8,715 Joy Prairie,Unionville,MO,46dc21304d3706e06dc998861340b9cd,40.382792,-93.121471,0
Adriana,3565196229855512,2019-03-17 06:57:18,fraud_Balistreri-Nader,9.87,715 Joy Prairie,Unionville,MO,5067797d393df5c0eb6631d49d55f7cd,40.942237,-93.82154,0
Adriana,3565196229855512,2019-03-17 07:57:29,fraud_Goodwin-Nitzsche,93.89,715 Joy Prairie,Unionville,MO,34017c512491acaf6ff6f0ff0361008b,40.803414,-92.722692,0
Adriana,3565196229855512,2019-03-18 12:55:19,"fraud_McDermott, Osinski and Morar",37.35,715 Joy Prairie,Unionville,MO,830b975337580eb0b32f02a54ebf7cae,40.892164,-92.843706,0
Adriana,3565196229855512,2019-03-18 15:45:33,fraud_Larkin Ltd,28.71,715 Joy Prairie,Unionville,MO,bc0972e69e04ba8bafbc3f240bbecff9,39.762511,-93.611623,0
Adriana,3565196229855512,2019-03-20 01:19:28,fraud_Brown-Greenholt,5.68,715 Joy Prairie,Unionville,MO,a673ee2694267c4aafdc9cb51f6d76da,40.492504,-92.476162,0
Adriana,3565196229855512,2019-03-20 10:56:10,"fraud_Roob, Conn and Tremblay",3.01,715 Joy Prairie,Unionville,MO,7dbf6ebdab9d8e9ef14907292ea11780,40.963867,-92.695847,0
Adriana,3565196229855512,2019-03-20 23:23:48,fraud_Little Ltd,37.05,715 Joy Prairie,Unionville,MO,a2c30db8d62e02ddc87245399930bbd0,41.215909,-92.811024,0
Adriana,3565196229855512,2019-03-21 15:21:58,fraud_Hirthe-Beier,2.08,715 Joy Prairie,Unionville,MO,fa4ca75f780014cf7af0c5e26bb3c81a,40.293355,-93.958875,0
Adriana,3565196229855512,2019-03-22 05:52:49,fraud_Dickinson Ltd,31.12,715 Joy Prairie,Unionville,MO,8c4fb760c4ab38a5e77fb97d42b5c8d2,40.30964,-93.302493,0
Adriana,3565196229855512,2019-03-22 16:37:15,fraud_Bode-Schuster,63.33,715 Joy Prairie,Unionville,MO,4ced42f8d2502b37ed331d2a3f2c5418,40.940583,-93.36496,0
Adriana,3565196229855512,2019-03-23 02:07:25,"fraud_Kutch, Hermiston and Farrell",61.03,715 Joy Prairie,Unionville,MO,903f37092a3d809094fecf9e9b060a64,39.86308,-93.096877,0
Adriana,3565196229855512,2019-03-23 08:05:21,fraud_Hackett-Lueilwitz,118.27,715 Joy Prairie,Unionville,MO,39523c26ffb6b3be3cefca44048e9295,41.28956,-92.903875,0
Adriana,3565196229855512,2019-03-23 16:42:54,fraud_Goyette-Herzog,7.73,715 Joy Prairie,Unionville,MO,76dd0aabf91816b83a46a0531edc188a,39.716516,-93.240583,0
Adriana,3565196229855512,2019-03-23 16:52:56,fraud_Streich Ltd,114.99,715 Joy Prairie,Unionville,MO,fb73b2af288fc7bbb0d4643ebd2aacb0,41.125855,-92.407957,0
Adriana,3565196229855512,2019-03-23 18:28:23,fraud_Kub PLC,1.5,715 Joy Prairie,Unionville,MO,172d3c74e309c9cf4d5cadb9c89e6820,40.27511,-92.510505,0
Adriana,3565196229855512,2019-03-24 15:03:37,fraud_Carroll PLC,3.18,715 Joy Prairie,Unionville,MO,2e4114bf0f97f0adbe8e139b31840008,40.550573,-93.458415,0
Adriana,3565196229855512,2019-03-24 17:04:54,"fraud_Haley, Batz and Auer",2.73,715 Joy Prairie,Unionville,MO,ea30902700a4fbc101ca19f5fdc1b6c5,39.815243,-92.541178,0
Adriana,3565196229855512,2019-03-25 06:23:49,fraud_Koelpin and Sons,16.55,715 Joy Prairie,Unionville,MO,343cb237141164dffccca5227b7b4450,40.829453,-92.939088,0
Adriana,3565196229855512,2019-03-25 14:05:55,fraud_Boyer-Haley,5.75,715 Joy Prairie,Unionville,MO,2579bb0179e4b8d1dd882f698c6847da,40.198264,-92.15564,0
Adriana,3565196229855512,2019-03-26 21:15:19,"fraud_Medhurst, Labadie and Gottlieb",4.7,715 Joy Prairie,Unionville,MO,c4a1c1bb14e528dbf958c2e2cc46489e,41.12262,-92.905805,0
Adriana,3565196229855512,2019-03-26 22:28:23,fraud_Windler LLC,24.12,715 Joy Prairie,Unionville,MO,77b8546fe718c968b09a123926be6692,40.093518,-93.344351,0
Adriana,3565196229855512,2019-03-28 03:03:08,fraud_Erdman-Kertzmann,75.34,715 Joy Prairie,Unionville,MO,a8e7e5fd0d348c1ae1421b9b9896514e,40.560492,-92.555635,0
Adriana,3565196229855512,2019-03-29 07:24:23,"fraud_Hermiston, Russel and Price",88.93,715 Joy Prairie,Unionville,MO,5d90b519b58f794250922d4eacecc91f,39.899771,-92.169638,0
Adriana,3565196229855512,2019-03-29 08:40:51,fraud_Kuhn LLC,9.1,715 Joy Prairie,Unionville,MO,cae7cc062f5735bfeb5d8f2488dca166,40.097398,-93.443213,0
Adriana,3565196229855512,2019-03-29 17:10:46,"fraud_Walter, Hettinger and Kessler",22.57,715 Joy Prairie,Unionville,MO,58cf0b8d3d3208f07d380456570703ba,40.877479,-92.723465,0
Adriana,3565196229855512,2019-03-29 20:34:35,fraud_Leannon-Nikolaus,5.93,715 Joy Prairie,Unionville,MO,513060619d55d4c7aa673772ec138ace,41.31094,-92.552008,0
Adriana,3565196229855512,2019-03-30 16:01:23,fraud_Jakubowski Group,172.66,715 Joy Prairie,Unionville,MO,dfd410f570c2c6ba330b670e0c745f09,39.881994,-93.209565,0
Adriana,3565196229855512,2019-03-30 21:08:55,fraud_Hamill-D'Amore,48.24,715 Joy Prairie,Unionville,MO,bde31a7d1bd9965e353d4f841eb33eea,40.297976,-93.381828,0
