first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Alan,2657850734909997,2019-01-01 10:52:40,fraud_Miller-Harris,7.81,04139 Johnson Prairie Suite 401,Detroit,MI,10556d7be92c2374dd100290f9bff871,43.171997,-83.527204,0
Alan,213178765398315,2019-01-01 11:17:39,"fraud_Morissette, Weber and Wiegand",43.12,748 Bryan Fields Suite 935,Riverton,WY,8804f4b8cd9cfdfac5b5aa615cc7691b,43.802428000000006,-107.281335,0
Alan,213178765398315,2019-01-01 12:55:23,fraud_Watsica LLC,4.31,748 Bryan Fields Suite 935,Riverton,WY,e2ae9911ffdda9776dabf41e16beda9c,43.96206,-108.042065,0
Alan,213178765398315,2019-01-01 16:15:59,"fraud_Mosciski, Ziemann and Farrell",5.84,748 Bryan Fields Suite 935,Riverton,WY,9223c166a7be949edbe4a6cb39b39c96,43.550545,-108.187721,0
Alan,6523180720198790,2019-01-01 18:37:01,"fraud_Lowe, Dietrich and Erdman",220.47,560 Molina Path,Oakdale,NY,a01f36e8d27dbc62f025b2784193db15,41.69108,-73.63723399999999,0
Alan,2657850734909997,2019-01-01 20:32:27,fraud_Windler LLC,22.67,04139 Johnson Prairie Suite 401,Detroit,MI,fea2f3c349fc728afef2776b2393ff5a,41.719688,-82.85974300000001,0
Alan,2657850734909997,2019-01-02 16:16:06,fraud_Friesen-Ortiz,8.18,04139 Johnson Prairie Suite 401,Detroit,MI,318d3a3e3495f5547387cab7859e25b3,41.531748,-82.339854,0
Alan,4957924165498,2019-01-02 23:12:36,fraud_Schoen Ltd,85.86,0547 Russell Ford Suite 574,Kirk,CO,7f92f58c8ec70ddfe5b6eb13f7756c3c,40.457621,-102.985376,0
Alan,6523180720198790,2019-01-03 08:16:14,"fraud_Moore, Dibbert and Koepp",245.14,560 Molina Path,Oakdale,NY,ce4792d7a1d8a5ed37e343d81bc75c9c,40.591203,-72.250408,0
Alan,2657850734909997,2019-01-03 20:55:48,fraud_Bartoletti and Sons,32.16,04139 Johnson Prairie Suite 401,Detroit,MI,56dc96b05b9f0aa05d841832d7519558,42.766649,-82.454856,0
Alan,213178765398315,2019-01-04 01:49:56,"fraud_Huel, Hammes and Witting",60.23,748 Bryan Fields Suite 935,Riverton,WY,df46aa01a222b9c622fadc6bd02647b1,42.146381,-107.217045,0
Alan,4957924165498,2019-01-04 03:54:58,fraud_Prohaska-Murray,63.37,0547 Russell Ford Suite 574,Kirk,CO,68bd6878aa1c43d6a7f724944119b066,40.500091,-101.54874,0
Alan,2657850734909997,2019-01-04 09:33:43,"fraud_Hagenes, Kohler and Hoppe",160.33,04139 Johnson Prairie Suite 401,Detroit,MI,58f03f053362a63857df63ee447a3cae,43.03259,-82.620249,0
Alan,6523180720198790,2019-01-04 17:19:38,fraud_Gerhold LLC,86.85,560 Molina Path,Oakdale,NY,a3e79efdd8171db86f180e64834a971c,40.848712,-73.958969,0
Alan,6523180720198790,2019-01-05 04:43:53,fraud_Cartwright-Harris,82.01,560 Molina Path,Oakdale,NY,083a85f91779992580c482407a7f8e12,40.689124,-73.263698,0
Alan,2657850734909997,2019-01-05 07:28:52,"fraud_Zieme, Bode and Dooley",69.99,04139 Johnson Prairie Suite 401,Detroit,MI,26422ee70a12afde1f282d4e5cdafe35,42.469468,-83.801324,0
Alan,4957924165498,2019-01-05 12:03:53,fraud_Johns Inc,33.78,0547 Russell Ford Suite 574,Kirk,CO,d10cf36094e428e75935c8fa6de428f5,39.650991,-103.258371,0
Alan,213178765398315,2019-01-05 14:54:39,"fraud_Yost, Schamberger and Windler",2.54,748 Bryan Fields Suite 935,Riverton,WY,03c0f660e5722fa667784f8ce6e1fe5f,42.391048,-108.68573,0
Alan,213178765398315,2019-01-06 00:14:33,fraud_Paucek-Wiza,40.92,748 Bryan Fields Suite 935,Riverton,WY,913a63a416ae4bf9909a7df7af47abef,42.404177,-109.12255,0
Alan,2657850734909997,2019-01-06 03:37:27,"fraud_Schuppe, Nolan and Hoeger",5.67,04139 Johnson Prairie Suite 401,Detroit,MI,d53d5c8f33a42f2244ba5de41a5507b9,41.410388,-82.91282,0
Alan,2657850734909997,2019-01-06 04:56:07,fraud_Dooley-Thompson,177.64,04139 Johnson Prairie Suite 401,Detroit,MI,4eddaf9929b40c8f97e3a7d20541ab68,42.107128,-83.96627600000001,0
Alan,2657850734909997,2019-01-06 09:59:37,"fraud_Kerluke, Kertzmann and Wiza",246.68,04139 Johnson Prairie Suite 401,Detroit,MI,d779b611cd460a94f44bd8678e5899fd,41.513214000000005,-82.241129,0
Alan,213178765398315,2019-01-06 15:11:07,"fraud_Yost, Block and Koepp",11.56,748 Bryan Fields Suite 935,Riverton,WY,aecba26136996d1707eb76f5cbf80e30,43.030556,-109.105741,0
Alan,213178765398315,2019-01-06 18:28:58,fraud_Wilkinson PLC,74.77,748 Bryan Fields Suite 935,Riverton,WY,664d479ea74dd62aecc2858f8214c0ab,42.333617,-108.628813,0
Alan,4957924165498,2019-01-06 21:03:01,fraud_Ernser-Lynch,141.43,0547 Russell Ford Suite 574,Kirk,CO,821d145efaf32ba2f0a7480113be838b,40.213466,-101.980323,0
Alan,213178765398315,2019-01-06 22:57:52,"fraud_Gottlieb, Considine and Schultz",214.81,748 Bryan Fields Suite 935,Riverton,WY,7d22dd20de35cd6e005b421d7614209a,43.277788,-108.079779,0
Alan,4957924165498,2019-01-07 04:08:47,fraud_Terry-Huel,1.95,0547 Russell Ford Suite 574,Kirk,CO,2eebf600f00be093b3a3c72acf39b19c,39.085154,-101.757094,0
Alan,213178765398315,2019-01-07 11:57:04,fraud_Kuhic Inc,55.58,748 Bryan Fields Suite 935,Riverton,WY,2dc478d4e12e13ba3cb2727d396e03a7,42.130146,-108.585226,0
Alan,213178765398315,2019-01-07 13:14:01,"fraud_Daugherty, Pouros and Beahan",1.7,748 Bryan Fields Suite 935,Riverton,WY,bf8dde613a3a3cfa8b84de0e8e03898e,42.820603000000006,-108.396779,0
Alan,213178765398315,2019-01-07 15:55:26,fraud_Baumbach Ltd,55.69,748 Bryan Fields Suite 935,Riverton,WY,f0716b41fce54f5b88b0e3c2e934d55a,42.578167,-107.501096,0
Alan,213178765398315,2019-01-07 16:31:42,fraud_Quitzon-Goyette,61.47,748 Bryan Fields Suite 935,Riverton,WY,eb0feec1707500c9d12861b91bd8164c,42.466164,-108.992677,0
Alan,4957924165498,2019-01-07 17:48:06,"fraud_Roberts, Ryan and Smith",69.09,0547 Russell Ford Suite 574,Kirk,CO,0297da406342c2b53e89670da2a3e0f7,38.782568,-102.304729,0
Alan,213178765398315,2019-01-07 18:08:49,fraud_Eichmann-Russel,3.94,748 Bryan Fields Suite 935,Riverton,WY,6c4cc673aac2c799f48f9a0a993b799d,43.727126,-108.556276,0
