first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Alex,4725673654161314,2019-01-01 19:36:24,fraud_Nienow PLC,20.76,874 Fred Knolls Apt. 609,Orient,NY,e9b74fb9db8bc604e7c922f8173582a5,40.385748,-72.521429,0
Alex,4725673654161314,2019-01-02 09:34:39,fraud_Kris-Padberg,2.91,874 Fred Knolls Apt. 609,Orient,NY,845790ba4c44a1ba12279741c80acb7e,40.372329,-72.889269,0
Alex,4725673654161314,2019-01-02 12:53:07,fraud_Weimann-Lockman,127.79,874 Fred Knolls Apt. 609,Orient,NY,dd0bb433c39c0d99326887bf72950f83,41.214014,-71.315834,0
Alex,4725673654161314,2019-01-03 08:26:00,"fraud_Kerluke, Kertzmann and Wiza",7.86,874 Fred Knolls Apt. 609,Orient,NY,29eab3944c88592cc6c84518aa517e1c,41.930098,-73.231802,0
Alex,4725673654161314,2019-01-03 16:53:36,"fraud_Runte, Green and Emard",69.06,874 Fred Knolls Apt. 609,Orient,NY,55d6fba33c1f4bee70c3e7584f422279,41.879592,-72.530896,0
Alex,4725673654161314,2019-01-04 06:53:11,"fraud_Tillman, Dickinson and Labadie",68.64,874 Fred Knolls Apt. 609,Orient,NY,8bf7e5ae668c3caeecdfdd6682201ab1,41.352045,-72.465501,0
Alex,4725673654161314,2019-01-06 21:11:40,fraud_Gleason and Sons,20.14,874 Fred Knolls Apt. 609,Orient,NY,ae31c29bfc16b992c23d89b86afd650f,41.556247,-72.714327,0
Alex,4725673654161314,2019-01-08 06:02:16,fraud_Pouros-Haag,28.56,874 Fred Knolls Apt. 609,Orient,NY,9eebe1eff823d7b08a0cb27b445f82d2,41.797643,-72.391913,0
Alex,4725673654161314,2019-01-08 23:15:59,fraud_Quitzon-Goyette,11.93,874 Fred Knolls Apt. 609,Orient,NY,50c38512ab1a19ccddc371026615b757,41.377716,-73.255338,0
Alex,4725673654161314,2019-01-09 12:14:47,fraud_Dickinson Ltd,98.89,874 Fred Knolls Apt. 609,Orient,NY,bb4879cc2b878df26ed90e0a0215b9c0,41.078853,-72.95268,0
Alex,4725673654161314,2019-01-09 16:18:24,fraud_Goyette-Herzog,7.14,874 Fred Knolls Apt. 609,Orient,NY,ca9af84a78727a2229addbf6c8be6faf,41.921868,-72.92517600000001,0
Alex,4725673654161314,2019-01-09 19:10:04,fraud_Collier LLC,50.28,874 Fred Knolls Apt. 609,Orient,NY,e95b51cc7931e296c23a4eaf35a8b0c4,41.749146,-71.350071,0
Alex,4725673654161314,2019-01-13 19:27:03,fraud_Torphy-Kertzmann,156.66,874 Fred Knolls Apt. 609,Orient,NY,f0b34d81cecf3e1f0707a70b5276949a,41.84662,-71.651201,0
Alex,4725673654161314,2019-01-14 10:55:45,fraud_Pfeffer and Sons,3.89,874 Fred Knolls Apt. 609,Orient,NY,d579f3f020ed56049a59c9597f4abf68,41.611212,-71.352462,0
Alex,4725673654161314,2019-01-15 07:08:38,fraud_Strosin-Cruickshank,165.79,874 Fred Knolls Apt. 609,Orient,NY,0ae8f2c5a236f0d3ad6571709e0c9c5e,41.141817,-71.907524,0
Alex,4725673654161314,2019-01-15 15:37:50,fraud_Schroeder Group,36.8,874 Fred Knolls Apt. 609,Orient,NY,1d196974b489ae3dc0da9ca2e7d67ef6,42.110104,-72.803373,0
Alex,4725673654161314,2019-01-16 02:56:57,"fraud_Willms, Kris and Bergnaum",19.23,874 Fred Knolls Apt. 609,Orient,NY,44f15b0557655a0deabf764593bbb050,40.417385,-72.14644399999999,0
Alex,4725673654161314,2019-01-21 15:58:04,fraud_Wilkinson LLC,2.77,874 Fred Knolls Apt. 609,Orient,NY,3409d3a663136e28edf622f66e099888,41.838272,-71.419455,0
