first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Alicia,4505383113689,2019-01-01 04:02:21,fraud_Heaney-Marquardt,23.89,507 John Overpass Suite 424,Harwood,MD,58f441292530b7addc38b1dbd4fd54d7,39.366148,-76.29457,0
Alicia,676281772837,2019-01-01 09:16:36,"fraud_Koss, McLaughlin and Mayer",37.28,222 Freeman Islands,Whigham,GA,a2fc63ac963ea3ec7d4a4b4fd21d931a,31.787739,-83.41180899999999,0
Alicia,4430881574719618,2019-01-01 12:00:35,fraud_Greenholt Ltd,107.41,4456 Dunn Roads,Meredith,CO,42cf87bcb4c4adf573d137589e74df9f,38.417406,-106.386284,0
Alicia,4430881574719618,2019-01-01 12:01:45,"fraud_Dare, Fritsch and Zboncak",36.52,4456 Dunn Roads,Meredith,CO,f823df96c24faf177f6c1569b2ce3c1d,39.838766,-106.332496,0
Alicia,4505383113689,2019-01-01 13:37:40,fraud_Schuppe-Schuppe,130.77,507 John Overpass Suite 424,Harwood,MD,d4f72bbb16607c4ceef56864e0237b6b,39.545984,-77.60544399999999,0
Alicia,4158008602445,2019-01-01 18:20:02,fraud_Gleason and Sons,28.67,976 Hubbard Lodge,Randolph,MN,8732fa6a5340cc1ce587fc6079896148,44.295034,-92.927713,0
Alicia,4430881574719618,2019-01-01 18:57:08,fraud_Ullrich Ltd,77.11,4456 Dunn Roads,Meredith,CO,7f18e190f827c0b3ca0bab22b14426c8,39.872607,-106.914132,0
Alicia,4158008602445,2019-01-01 19:32:28,"fraud_Durgan, Gislason and Spencer",20.6,976 Hubbard Lodge,Randolph,MN,423b5ca9e524b50ae9180091382e3245,45.027167,-93.606679,0
Alicia,676281772837,2019-01-02 02:41:50,fraud_Kilback LLC,91.85,222 Freeman Islands,Whigham,GA,2b22c95c198838ecc41b29c3c1354dc2,30.344676,-83.54435,0
Alicia,676281772837,2019-01-02 02:49:39,"fraud_Larkin, Stracke and Greenfelder",38.86,222 Freeman Islands,Whigham,GA,92ead374c4fe29447d760aef60772504,30.801143,-85.296777,0
Alicia,4657269323674365,2019-01-02 08:27:41,fraud_Buckridge PLC,5.93,125 Kristen Dale,Grand Ridge,FL,47413cb43382ef8c49bc4cccc92bea24,30.458340000000003,-85.190476,0
Alicia,4505383113689,2019-01-02 11:51:21,"fraud_Reichert, Rowe and Mraz",2.81,507 John Overpass Suite 424,Harwood,MD,d4fa1d0efe0ea7a02a8ebb8e0f1fc2fc,39.365725,-76.35812,0
