first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Allen,3559160581764413,2019-01-01 03:09:47,fraud_Kuvalis Ltd,75.73,70147 Amanda Fields,Saint Bonaventure,NY,3ea6db774a5e3ab12764a6e6637a0e71,41.856329,-78.14814100000001,0
Allen,3559160581764413,2019-01-01 07:59:47,"fraud_Tromp, Kerluke and Glover",49.76,70147 Amanda Fields,Saint Bonaventure,NY,1dc623cb180f12175b8261127373911d,41.518354,-78.434401,0
Allen,3559160581764413,2019-01-01 09:38:12,fraud_Kris-Padberg,132.22,70147 Amanda Fields,Saint Bonaventure,NY,a208bb6bb4a32c05407c7ef29ea3b5b4,41.658409000000006,-77.818566,0
Allen,3559160581764413,2019-01-01 10:06:22,"fraud_Raynor, Feest and Miller",68.67,70147 Amanda Fields,Saint Bonaventure,NY,cca4340b6363e58f2985107267c29830,42.135141,-78.55077800000001,0
Allen,3559160581764413,2019-01-01 13:20:20,fraud_Beer-Jast,48.95,70147 Amanda Fields,Saint Bonaventure,NY,a5b54f147a83e87c3103922d787d9d97,42.970204,-79.093014,0
Allen,3559160581764413,2019-01-02 03:31:03,fraud_Herman Inc,34.93,70147 Amanda Fields,Saint Bonaventure,NY,8830bfa7af2a26da2531ee41da326e10,41.340116,-78.215132,0
Allen,3559160581764413,2019-01-02 05:46:23,"fraud_Morissette, Weber and Wiegand",48.99,70147 Amanda Fields,Saint Bonaventure,NY,c9b2be6c09a8e967ed29e1e97dcb23df,42.97009,-79.11766899999999,0
Allen,3559160581764413,2019-01-03 00:25:59,fraud_Beier-Hyatt,159.42,70147 Amanda Fields,Saint Bonaventure,NY,05e234fbd7828de079657c96c3f70fec,41.49617,-77.687907,0
Allen,3559160581764413,2019-01-03 14:33:26,fraud_Friesen Ltd,73.19,70147 Amanda Fields,Saint Bonaventure,NY,496a7d3dc3ac4cc4e6d4867bd1ad63aa,42.753461,-78.42598000000001,0
Allen,3559160581764413,2019-01-03 22:00:26,"fraud_Turcotte, Batz and Buckridge",79.18,70147 Amanda Fields,Saint Bonaventure,NY,74887534d5a28de4f001b6d73946850b,41.426821,-78.92110699999999,0
Allen,3559160581764413,2019-01-04 10:55:12,"fraud_Greenholt, Jacobi and Gleason",72.98,70147 Amanda Fields,Saint Bonaventure,NY,e936c418bac73b7527475cdd1557656b,41.868856,-79.568112,0
Allen,3559160581764413,2019-01-04 20:13:03,fraud_Wuckert-Goldner,76.34,70147 Amanda Fields,Saint Bonaventure,NY,463d313cd96ef74ea73e05597ee98bd5,42.288816,-78.482726,0
Allen,3559160581764413,2019-01-05 00:23:43,fraud_Gleason-Macejkovic,89.3,70147 Amanda Fields,Saint Bonaventure,NY,a656d7ff70e568ff41fa5367c7338e52,41.297193,-78.673562,0
Allen,3559160581764413,2019-01-05 18:20:52,"fraud_Dare, Fritsch and Zboncak",75.55,70147 Amanda Fields,Saint Bonaventure,NY,c3c46306f0db02f2a475969344ed7a3a,43.052608,-78.997436,0
Allen,3559160581764413,2019-01-05 23:27:46,"fraud_Schroeder, Hauck and Treutel",76.17,70147 Amanda Fields,Saint Bonaventure,NY,91c6c4345f6f83eb109c03c73713a283,42.80225,-78.530054,0
Allen,3559160581764413,2019-01-06 02:04:17,"fraud_Schaefer, McGlynn and Bosco",73.02,70147 Amanda Fields,Saint Bonaventure,NY,039b50203de58462930ebe32ea7df8c3,42.971013,-78.567143,0
Allen,3559160581764413,2019-01-06 18:15:42,fraud_Botsford PLC,83.87,70147 Amanda Fields,Saint Bonaventure,NY,b69458314b6a8d33a11f7a4fe9b739b8,42.84173,-78.08959499999999,0
Allen,3559160581764413,2019-01-07 01:54:15,"fraud_Watsica, Haag and Considine",117.58,70147 Amanda Fields,Saint Bonaventure,NY,b296103f5c48586a3902ed49fd6f28e4,43.066092,-78.158369,0
Allen,3559160581764413,2019-01-08 04:04:50,"fraud_Heathcote, Yost and Kertzmann",93.57,70147 Amanda Fields,Saint Bonaventure,NY,d94d20700b58ab16daf2397605dceb37,41.324011,-77.78569300000001,0
Allen,3559160581764413,2019-01-08 04:23:58,fraud_McCullough LLC,35.26,70147 Amanda Fields,Saint Bonaventure,NY,810af69b63427b6da456fcd3c7afa742,42.794676,-78.231672,0
Allen,3559160581764413,2019-01-08 16:23:52,"fraud_Cole, Hills and Jewess",71.48,70147 Amanda Fields,Saint Bonaventure,NY,e59550282026025b563ed3c93f4f7eef,42.40801,-79.220823,0
Allen,3559160581764413,2019-01-08 16:32:05,fraud_Ullrich Ltd,58.95,70147 Amanda Fields,Saint Bonaventure,NY,60f221cce6f492761e1cb4af89b4393a,41.638162,-78.67348199999999,0
Allen,3559160581764413,2019-01-09 03:32:01,"fraud_Rodriguez, Yost and Jenkins",105.88,70147 Amanda Fields,Saint Bonaventure,NY,01f423123b58dc9a07e32e3e522cac68,42.78273,-79.035455,0
Allen,3559160581764413,2019-01-09 19:27:15,"fraud_McCullough, Hudson and Schuster",61.36,70147 Amanda Fields,Saint Bonaventure,NY,38001eddaaa9c47d146e83a22beba816,42.596849,-78.58981700000001,0
Allen,3559160581764413,2019-01-09 20:27:00,fraud_Harris Group,61.35,70147 Amanda Fields,Saint Bonaventure,NY,c0f809c73b1fad642580a3395c4d6d71,42.134404,-77.901863,0
Allen,3559160581764413,2019-01-10 14:38:48,"fraud_McDermott, Osinski and Morar",81.52,70147 Amanda Fields,Saint Bonaventure,NY,c70b39cbfe5ec4d430e48c3742036eb7,42.550983,-78.339906,0
Allen,3559160581764413,2019-01-10 18:19:15,"fraud_Dare, Fritsch and Zboncak",76.39,70147 Amanda Fields,Saint Bonaventure,NY,2a6ddb8cdc8d39eca0f7113e71f359c4,43.145153,-78.541493,0
Allen,3559160581764413,2019-01-10 19:14:34,fraud_Daugherty LLC,51.8,70147 Amanda Fields,Saint Bonaventure,NY,6d55d8ef6638837d47f468959a4354cb,42.392132,-78.66356,0
