first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Allison,6011438889172900,2019-01-01 04:24:41,fraud_McDermott-Weimann,185.98,40624 Rebecca Spurs,De Witt,AR,e0b963ad8accab575a06d6e708fa54a6,34.077371,-91.79756,0
Allison,6011438889172900,2019-01-01 04:44:38,fraud_Donnelly PLC,195.41,40624 Rebecca Spurs,De Witt,AR,480374f70ba60774a7cae6e6fbc4ba0c,34.671217,-91.163322,0
Allison,6011438889172900,2019-01-01 05:17:25,"fraud_Yost, Block and Koepp",7.38,40624 Rebecca Spurs,De Witt,AR,9f9115024d7dc4b66abd4cac86620d36,33.620816,-91.970425,0
Allison,30044330818990,2019-01-01 08:27:50,"fraud_Schultz, Simonis and Little",201.12,87665 Karen Mill Apt. 586,Fort Myers,FL,d37ae6779d0ada23e744827f7ceeb520,26.107271,-81.923019,0
Allison,30044330818990,2019-01-01 10:45:15,fraud_DuBuque LLC,176.63,87665 Karen Mill Apt. 586,Fort Myers,FL,17b19b638a84495b28677e1072c4ea24,26.258936,-81.972659,0
Allison,30044330818990,2019-01-01 10:59:38,fraud_Kunze Inc,193.5,87665 Karen Mill Apt. 586,Fort Myers,FL,1f03ebed927af822b499d0cc64686450,27.436645,-81.806937,0
Allison,6011438889172900,2019-01-01 12:44:24,fraud_Fahey Inc,64.89,40624 Rebecca Spurs,De Witt,AR,93946b918398d1f67e5ebbd56f0c9d52,35.165667,-91.757016,0
Allison,6011438889172900,2019-01-01 13:26:42,fraud_Lynch-Wisozk,68.59,40624 Rebecca Spurs,De Witt,AR,046dc1515836458411500cd7c6b4d89e,34.306881,-91.068144,0
Allison,30044330818990,2019-01-01 16:02:19,fraud_Weimann-Lockman,177.11,87665 Karen Mill Apt. 586,Fort Myers,FL,8c56488eeb51de7c360a10edb0b7c087,26.980519,-80.817885,0
Allison,30044330818990,2019-01-01 17:08:49,"fraud_Koss, Hansen and Lueilwitz",33.14,87665 Karen Mill Apt. 586,Fort Myers,FL,8470906ba0dc4e9db9724f55e1e006e4,26.724666,-81.59076800000001,0
Allison,30044330818990,2019-01-01 18:09:49,fraud_Abbott-Rogahn,33.4,87665 Karen Mill Apt. 586,Fort Myers,FL,525cb6be5e9fa5d6893da177096dfefd,27.341741,-81.701833,0
Allison,30044330818990,2019-01-01 18:29:22,fraud_Homenick LLC,109.57,87665 Karen Mill Apt. 586,Fort Myers,FL,4ca5e0a4dc4e8213908317135a4293c9,26.881087,-82.602784,0
Allison,30044330818990,2019-01-01 19:18:08,fraud_Shanahan-Lehner,17.18,87665 Karen Mill Apt. 586,Fort Myers,FL,ea1801aa6181bc5c12e8edf76077f0da,26.745439,-82.70373000000001,0
Allison,30044330818990,2019-01-01 19:24:38,fraud_Little-Gleichner,3.58,87665 Karen Mill Apt. 586,Fort Myers,FL,2eccef110f176668a4488fccb090d174,27.262093,-81.93525600000001,0
Allison,30044330818990,2019-01-01 20:47:42,fraud_Donnelly LLC,49.0,87665 Karen Mill Apt. 586,Fort Myers,FL,8a014687dd2b71799982b3d7f1e3cfca,26.494587,-81.728412,0
Allison,6011438889172900,2019-01-01 21:54:06,fraud_Dibbert and Sons,77.24,40624 Rebecca Spurs,De Witt,AR,231296cb2683bb59ba883009f9b92d67,34.313965,-91.311746,0
Allison,6011438889172900,2019-01-02 06:20:16,fraud_Wolf Inc,191.41,40624 Rebecca Spurs,De Witt,AR,18b4c764916e94e17de6ec4e6914bdd3,34.559616,-91.196186,0
Allison,30044330818990,2019-01-02 06:45:29,fraud_Kling-Grant,66.29,87665 Karen Mill Apt. 586,Fort Myers,FL,e7d1b7fe0b9e17cf3827b91dc295c829,27.179576,-81.111815,0
Allison,6011438889172900,2019-01-02 19:17:32,"fraud_Koss, McLaughlin and Mayer",116.06,40624 Rebecca Spurs,De Witt,AR,13c0c050b00d60a65a41cd7881837daa,33.3261,-92.308588,0
Allison,30044330818990,2019-01-02 21:53:04,fraud_Jacobi and Sons,53.54,87665 Karen Mill Apt. 586,Fort Myers,FL,67b4a37f36bffd12befb94aa6a160687,26.125532,-80.819213,0
Allison,6011438889172900,2019-01-03 00:55:02,fraud_Dicki Ltd,78.22,40624 Rebecca Spurs,De Witt,AR,9fcf02eea142c0afbf596e974cd4bca0,34.412249,-90.522317,0
