first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Alyssa,213161231269724,2019-01-01 04:03:44,fraud_Bernhard Inc,68.34,622 Robin Run Suite 764,Gadsden,AL,1a7ecd096045247996facffe3fdf5ff2,33.859978000000005,-86.433097,0
Alyssa,213161231269724,2019-01-01 08:34:31,"fraud_Reilly, Heaney and Cole",57.4,622 Robin Run Suite 764,Gadsden,AL,be5dd10a141c99331a49be68275ddd58,33.679071,-86.385827,0
Alyssa,213161231269724,2019-01-02 06:01:41,"fraud_Bernier, Streich and Jewess",51.06,622 Robin Run Suite 764,Gadsden,AL,828c35dce4f3807e38e07a7119a6a14e,33.136986,-85.025315,0
Alyssa,213161231269724,2019-01-02 22:44:39,"fraud_Walter, Hettinger and Kessler",7.99,622 Robin Run Suite 764,Gadsden,AL,90ea781933d2073b2b900b7035fd8819,33.948974,-85.758752,0
Alyssa,213161231269724,2019-01-03 07:15:55,"fraud_Goldner, Kovacek and Abbott",108.92,622 Robin Run Suite 764,Gadsden,AL,76f888ab2c5aa7e143a433f7f586291d,34.484128000000005,-85.252252,0
Alyssa,213161231269724,2019-01-03 10:19:46,fraud_Metz-Boehm,3.38,622 Robin Run Suite 764,Gadsden,AL,18a5ff877ad655097a0ec88c34554531,34.024336,-86.460598,0
Alyssa,213161231269724,2019-01-05 08:39:39,fraud_Dooley Inc,3.43,622 Robin Run Suite 764,Gadsden,AL,90ccd2add5fd251403e625ca60a0f07d,33.05301,-85.066875,0
Alyssa,213161231269724,2019-01-05 11:58:42,"fraud_Osinski, Ledner and Leuschke",120.29,622 Robin Run Suite 764,Gadsden,AL,23e7041db37f7696e678d7cc20611713,34.411154,-85.53520999999999,0
Alyssa,213161231269724,2019-01-06 07:34:28,fraud_Douglas-White,127.35,622 Robin Run Suite 764,Gadsden,AL,2b79f8d4beed5720574bfcf79e68a95e,33.752520000000004,-86.344538,0
Alyssa,213161231269724,2019-01-06 09:01:00,fraud_Kilback LLC,88.85,622 Robin Run Suite 764,Gadsden,AL,9c898228de0df990f73a91320fc2f5b9,34.254296999999994,-86.06549100000001,0
Alyssa,213161231269724,2019-01-06 11:49:10,fraud_Schuppe LLC,367.8,622 Robin Run Suite 764,Gadsden,AL,e81523a5be3ad2473e1be4b03fd753bd,33.05001,-86.297157,0
Alyssa,213161231269724,2019-01-06 18:03:11,"fraud_Hauck, Dietrich and Funk",78.05,622 Robin Run Suite 764,Gadsden,AL,5b4865f19d993e1680a0f5f67c89b4a2,33.06685,-86.749091,0
Alyssa,213161231269724,2019-01-07 18:17:41,fraud_Fadel Inc,4.79,622 Robin Run Suite 764,Gadsden,AL,ee6f29be6b9f0fd10108de8b41c2fa6f,33.517948,-86.16990200000001,0
Alyssa,213161231269724,2019-01-07 21:38:54,fraud_Berge-Ullrich,70.81,622 Robin Run Suite 764,Gadsden,AL,1a81f3184e62bd10a3160981ed3aee2f,34.041078000000006,-85.203372,0
Alyssa,213161231269724,2019-01-08 05:51:00,fraud_Flatley Group,5.71,622 Robin Run Suite 764,Gadsden,AL,adb917b7671011eccd6bff031acfc19c,34.99446,-85.798833,0
Alyssa,213161231269724,2019-01-08 11:11:01,fraud_Koepp-Witting,92.93,622 Robin Run Suite 764,Gadsden,AL,4243cf5b719b577b9c66c04df3b175b9,33.553757,-86.124976,0
Alyssa,213161231269724,2019-01-08 21:15:54,fraud_Champlin and Sons,32.06,622 Robin Run Suite 764,Gadsden,AL,6622be852c65a6ffc19f28d1b74e54e2,33.842755,-86.44704399999999,0
Alyssa,213161231269724,2019-01-08 21:45:58,"fraud_Gutmann, McLaughlin and Wiza",46.08,622 Robin Run Suite 764,Gadsden,AL,e54e53409b133cbec7697dab78a5952a,34.452602,-84.971885,0
Alyssa,213161231269724,2019-01-09 06:43:57,fraud_Harris Inc,83.42,622 Robin Run Suite 764,Gadsden,AL,3c55bf5641e76fadec470e115415f1be,34.680620000000005,-86.048061,0
Alyssa,213161231269724,2019-01-09 10:43:20,"fraud_Schneider, Hayes and Nikolaus",63.59,622 Robin Run Suite 764,Gadsden,AL,bebf4ae71cabd9b9fc97cba37d4bfe78,34.273564,-85.444948,0
Alyssa,213161231269724,2019-01-10 06:42:24,"fraud_Kutch, Steuber and Gerhold",56.42,622 Robin Run Suite 764,Gadsden,AL,0c99352c619eb81fb0079ee523710a29,33.956758,-86.26594200000001,0
Alyssa,213161231269724,2019-01-10 22:14:24,fraud_Hills-Boyer,51.1,622 Robin Run Suite 764,Gadsden,AL,9437ddf7ad34d98d08f24e917fd21811,33.357201,-86.491716,0
