first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Amber,4587657402165341815,2019-01-01 03:04:28,fraud_Hills-Olson,25.89,6296 John Keys Suite 858,Pembroke Township,IL,76c33ab500644d7795159d1a0eaa243c,40.888445,-87.409615,0
Amber,4587657402165341815,2019-01-01 03:10:00,fraud_Friesen-D'Amore,77.59,6296 John Keys Suite 858,Pembroke Township,IL,24bc3a291efe739d2f801fdc487ee3f2,41.81826,-88.129609,0
Amber,3533800906065217,2019-01-01 08:33:06,fraud_Mayert Group,1.28,840 Werner Lock Apt. 852,Campbell,NE,128d12e82cc3ddb7078f419090279e5d,41.186022,-98.2683,0
Amber,3533800906065217,2019-01-01 10:45:31,fraud_Kuphal-Bartoletti,2.55,840 Werner Lock Apt. 852,Campbell,NE,cf2616223a657877fdd6510251f789bd,39.451595000000005,-99.296808,0
Amber,3533800906065217,2019-01-01 11:18:49,fraud_Heller-Langosh,63.61,840 Werner Lock Apt. 852,Campbell,NE,233c4243eca00563e7ca952ebdbbf7ff,41.032279,-99.607767,0
Amber,3513618443244549,2019-01-01 13:51:23,fraud_Botsford PLC,19.16,954 Reyes Ways,Fulton,SD,d51fe4166ac494c7e236aaf666a1708f,43.279945,-97.213833,0
Amber,4587657402165341815,2019-01-01 14:22:33,fraud_Kuhn LLC,130.9,6296 John Keys Suite 858,Pembroke Township,IL,3949a27ed9d07e320104b2faf9038e11,40.654588,-86.742835,0
Amber,4587657402165341815,2019-01-01 14:54:40,"fraud_Moore, Dibbert and Koepp",115.91,6296 John Keys Suite 858,Pembroke Township,IL,4c55984102607834299bb2f2c68520d7,41.091189,-87.636425,0
Amber,4587657402165341815,2019-01-01 23:21:13,fraud_Kemmer-Buckridge,39.7,6296 John Keys Suite 858,Pembroke Township,IL,9da5fb3c97cdebee0cba7037e107e73a,40.069589,-88.050801,0
Amber,3513618443244549,2019-01-02 07:15:57,fraud_Bauch-Raynor,128.15,954 Reyes Ways,Fulton,SD,919ed2648a4e66afe90e2c3da56fd5a8,43.383109000000005,-97.977589,0
Amber,4587657402165341815,2019-01-02 13:16:31,fraud_McKenzie-Huels,1.2,6296 John Keys Suite 858,Pembroke Township,IL,5f1f9840d6d654ae702681c6da1b874e,41.244978,-88.30506899999999,0
Amber,4587657402165341815,2019-01-02 16:16:40,fraud_Daugherty LLC,21.84,6296 John Keys Suite 858,Pembroke Township,IL,222ccc41089ce4b7b5c9a7e214f2c553,40.680923,-88.185455,0
