first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Amy,4335531783520911,2019-01-01 13:47:51,fraud_Kris-Padberg,66.21,852 Thomas Well Suite 339,Owensville,MO,b10d3dd983d8283099b5dcbc057b8463,39.005932,-91.649172,0
Amy,4044436772018844508,2019-01-01 16:10:35,"fraud_Goyette, Howell and Collier",13.7,01505 Amy Stravenue,Dayton,OH,7239c2cac2689d8d09cc2ef2805a962a,38.879274,-85.21520600000001,0
Amy,4335531783520911,2019-01-01 18:10:18,"fraud_Roberts, Daniel and Macejkovic",97.2,852 Thomas Well Suite 339,Owensville,MO,ec453bb870cb4d74ad9b9d39d4183e3c,38.210607,-92.231835,0
Amy,573283817795,2019-01-01 23:26:22,"fraud_Kling, Howe and Schneider",32.97,46095 Tara Fords,Jaffrey,NH,532686f9e2adbe60a85bf82a80fb652d,43.234019,-71.045662,0
Amy,573283817795,2019-01-02 04:00:01,fraud_Ernser-Lynch,95.9,46095 Tara Fords,Jaffrey,NH,efcee9f4ed79394fa52fd032673ceec6,43.230734000000005,-71.825819,0
Amy,2222157926772399,2019-01-02 22:50:40,fraud_Eichmann-Russel,7.32,6014 Thomas Throughway,Trenton,TX,e175d47582a3878bddc81c787b09690a,33.480841,-95.371752,0
Amy,573283817795,2019-01-03 02:05:30,"fraud_Roob, Conn and Tremblay",342.99,46095 Tara Fords,Jaffrey,NH,03ec0cc2f50c8ae76682d528f44abb70,42.87689,-71.36988199999999,0
Amy,4044436772018844508,2019-01-03 03:53:16,"fraud_Hayes, Marquardt and Dibbert",2.63,01505 Amy Stravenue,Dayton,OH,588a99c5da275286acdb03023de3f5ae,39.535785,-84.065802,0
Amy,573283817795,2019-01-04 09:54:58,"fraud_Schumm, Bauch and Ondricka",103.95,46095 Tara Fords,Jaffrey,NH,b027f3f897f5239caaecb02c30ff0141,42.640659,-71.399738,0
Amy,4044436772018844508,2019-01-04 16:51:15,fraud_Kihn-Fritsch,47.17,01505 Amy Stravenue,Dayton,OH,92db88ef28346955cd8b78ce94a48312,40.536151,-84.017505,0
Amy,4335531783520911,2019-01-04 18:53:15,fraud_Shanahan-Lehner,10.64,852 Thomas Well Suite 339,Owensville,MO,6687ad86e347f7201a38adbd4bd34a4d,37.466529,-91.930501,0
Amy,4335531783520911,2019-01-05 14:50:56,fraud_Bogisich-Homenick,3.79,852 Thomas Well Suite 339,Owensville,MO,f02976ed69878237248ea1e43656be6b,39.117799,-91.605358,0
Amy,4335531783520911,2019-01-05 15:05:29,"fraud_Feil, Hilpert and Koss",12.52,852 Thomas Well Suite 339,Owensville,MO,4462b8f24aa0633fe6cd5d753f591e2a,38.53569,-92.208903,0
Amy,4335531783520911,2019-01-05 16:17:43,"fraud_Rodriguez, Yost and Jenkins",8.69,852 Thomas Well Suite 339,Owensville,MO,dadffab31acbdb5face060f69ff1b949,38.330514,-91.266786,0
Amy,2222157926772399,2019-01-06 08:27:45,fraud_Torp-Labadie,69.92,6014 Thomas Throughway,Trenton,TX,edd64fc4a2f2e4cf9cad65ba66637171,34.291602000000005,-96.455627,0
