first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Ana,213112402583773,2019-01-01 01:08:31,fraud_Brekke and Sons,81.85,4664 Sanchez Common Suite 930,Bradley,SC,4e2abdbd30c0353eeddf16650e1fc46b,33.828472999999995,-81.642924,0
Ana,36913587729122,2019-01-01 04:55:19,fraud_McDermott-Weimann,236.18,4503 Patricia Route,Meridian,ID,f5afac4b2726300db61d131c65db187d,44.404099,-115.887498,0
Ana,36913587729122,2019-01-01 09:29:58,fraud_Schamberger-O'Keefe,197.16,4503 Patricia Route,Meridian,ID,474e9337240f379e55216d2176740822,44.265422,-116.790366,0
Ana,213112402583773,2019-01-01 09:55:04,fraud_Conroy-Cruickshank,58.78,4664 Sanchez Common Suite 930,Bradley,SC,855dd4fa496bffc48da8ea9e3ad1ef5a,34.380163,-82.83515899999999,0
Ana,213112402583773,2019-01-01 14:49:46,"fraud_Heathcote, Yost and Kertzmann",7.46,4664 Sanchez Common Suite 930,Bradley,SC,f3c3fc9321b3f70286237b4e2c75e061,34.96289,-81.602745,0
Ana,213112402583773,2019-01-01 18:24:20,fraud_Emmerich-Rau,73.84,4664 Sanchez Common Suite 930,Bradley,SC,3e378f172304e0f284edd9d82e122f71,34.093231,-81.829679,0
Ana,213112402583773,2019-01-01 19:51:11,fraud_Abbott-Steuber,4.36,4664 Sanchez Common Suite 930,Bradley,SC,c0d68971d9b9c34b06b7df2ced828e4c,33.138694,-81.325128,0
Ana,213112402583773,2019-01-01 22:04:46,fraud_Kutch-Ferry,24.65,4664 Sanchez Common Suite 930,Bradley,SC,d351c97289f2bb7a77727c627e152302,33.755465,-81.30166700000001,0
Ana,213112402583773,2019-01-01 22:40:02,fraud_Pollich LLC,58.83,4664 Sanchez Common Suite 930,Bradley,SC,697a093f7a6f98cd3b0846716a9236c9,33.974575,-82.070237,0
Ana,36913587729122,2019-01-01 23:16:17,"fraud_Baumbach, Hodkiewicz and Walsh",2.15,4503 Patricia Route,Meridian,ID,2752c8b79622dd7c9ce32c78f8679d1c,44.452268,-116.395156,0
Ana,213112402583773,2019-01-02 01:28:32,"fraud_Hayes, Marquardt and Dibbert",183.4,4664 Sanchez Common Suite 930,Bradley,SC,cf92859b8ab626b9089d9e9977186b0b,34.041471,-82.215213,0
Ana,36913587729122,2019-01-02 10:36:36,"fraud_Yost, Block and Koepp",111.47,4503 Patricia Route,Meridian,ID,9410a252d51066ad177ae25350f02bea,43.008171,-117.195542,0
Ana,213112402583773,2019-01-02 13:11:14,fraud_Towne LLC,6.26,4664 Sanchez Common Suite 930,Bradley,SC,47fc966adc7743d1139f480da6a1c1b6,33.727599,-82.51178900000001,0
Ana,36913587729122,2019-01-03 00:39:16,fraud_DuBuque LLC,168.86,4503 Patricia Route,Meridian,ID,d35f8647a5af6e121f87ff7a0abc25a4,44.196838,-116.89011399999998,0
Ana,213112402583773,2019-01-03 06:54:16,fraud_Heidenreich PLC,103.46,4664 Sanchez Common Suite 930,Bradley,SC,34707243b40e252499e07c02172e169e,33.745383000000004,-81.273453,0
Ana,213112402583773,2019-01-03 13:24:34,"fraud_Hoppe, Harris and Bednar",20.13,4664 Sanchez Common Suite 930,Bradley,SC,36bf9977dcadd83948b018ad91b3526e,33.457155,-82.78975200000001,0
Ana,36913587729122,2019-01-04 00:08:17,fraud_Rempel PLC,24.76,4503 Patricia Route,Meridian,ID,cbf6051a630d2f8fdd30a4f7c1009c3f,44.199891,-117.00696299999998,0
Ana,36913587729122,2019-01-04 02:40:14,fraud_Marks Inc,67.11,4503 Patricia Route,Meridian,ID,d862830363b4013eb1ffd7ec547fcc7b,42.979402,-117.387646,0
Ana,213112402583773,2019-01-04 04:58:45,fraud_Murray-Smitham,118.99,4664 Sanchez Common Suite 930,Bradley,SC,d48bb92f0b19d7bf9195028d7a36f9a8,34.640936,-82.755561,0
Ana,36913587729122,2019-01-04 07:03:51,fraud_Auer-Mosciski,203.27,4503 Patricia Route,Meridian,ID,a228fc2a7507fa1025b9ed95842a8f66,43.955704,-116.649342,0
Ana,213112402583773,2019-01-04 07:46:22,"fraud_Lockman, West and Runte",104.45,4664 Sanchez Common Suite 930,Bradley,SC,79899db4f9af9ca8d44dbd6daf1ba98b,34.198571,-82.246753,0
Ana,213112402583773,2019-01-04 08:13:52,fraud_Bailey-Morar,93.06,4664 Sanchez Common Suite 930,Bradley,SC,7979da08eeef351a8b9fd3c00fe38597,33.971933,-81.870584,0
Ana,213112402583773,2019-01-04 14:35:44,"fraud_Prosacco, Kreiger and Kovacek",14.89,4664 Sanchez Common Suite 930,Bradley,SC,cc935fcd8541639e595dae52e553da7f,34.84538,-81.756975,0
Ana,36913587729122,2019-01-04 18:08:21,fraud_White and Sons,42.12,4503 Patricia Route,Meridian,ID,56d3ab7913fa5e5d0afaa934543b81af,44.050287,-117.272141,0
Ana,36913587729122,2019-01-04 22:52:11,fraud_Daugherty LLC,151.5,4503 Patricia Route,Meridian,ID,ad381af939d26aa4f4a099533fa650fb,43.451701,-116.680404,0
Ana,36913587729122,2019-01-05 04:03:22,fraud_Auer-Mosciski,171.56,4503 Patricia Route,Meridian,ID,c4c2286b17c9a4ab7d828d76e500a3eb,42.720626,-116.523793,0
Ana,36913587729122,2019-01-05 13:56:09,fraud_Thompson-Gleason,2.12,4503 Patricia Route,Meridian,ID,3e55569d89f2bcbcb970de690e75107f,42.680667,-116.563925,0
Ana,36913587729122,2019-01-05 14:36:39,fraud_Dibbert-Green,163.69,4503 Patricia Route,Meridian,ID,7c5e7145b080bc5d499f77192bd513f5,43.792165,-117.060102,0
Ana,213112402583773,2019-01-05 18:56:47,fraud_Marvin-Lind,26.78,4664 Sanchez Common Suite 930,Bradley,SC,b4b71f8f74d9e2719a0e1662a69deb8c,34.952465999999994,-81.505834,0
Ana,36913587729122,2019-01-05 23:36:55,fraud_Simonis-Prohaska,184.85,4503 Patricia Route,Meridian,ID,784115d5e9c1fe9028da30380b36203c,44.303702,-116.375004,0
Ana,213112402583773,2019-01-06 03:18:49,fraud_Prohaska-Murray,51.4,4664 Sanchez Common Suite 930,Bradley,SC,e2fed5efd53badabcd7fd090e82c2f4b,34.599509999999995,-82.541573,0
Ana,36913587729122,2019-01-06 07:48:25,"fraud_Schaefer, Maggio and Daugherty",59.09,4503 Patricia Route,Meridian,ID,536060b5879e0bf7134b9f43f2f75989,44.024317,-116.396596,0
Ana,36913587729122,2019-01-06 08:03:01,fraud_Cassin-Harvey,85.72,4503 Patricia Route,Meridian,ID,f30848a8d4bc57b52f021ac8ccda26af,42.767641,-116.306301,0
Ana,213112402583773,2019-01-06 14:29:00,fraud_McGlynn-Jaskolski,7.43,4664 Sanchez Common Suite 930,Bradley,SC,a3e85212396f0625d2b723ec6fcff631,33.438419,-81.838655,0
Ana,36913587729122,2019-01-06 15:56:55,fraud_Price Inc,112.07,4503 Patricia Route,Meridian,ID,5e8fc97517a7da75487765cc58a0fb61,42.680609,-117.110865,0
