first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Andrea,4769426683924058915,2019-01-01 03:35:15,fraud_Kutch LLC,77.01,26572 Hodge Villages Suite 512,Mifflin,PA,19e4f63a8dda607efea0ba953d21e9d9,40.494014,-78.398475,0
Andrea,4769426683924058915,2019-01-01 04:48:46,fraud_Jast-McDermott,1.75,26572 Hodge Villages Suite 512,Mifflin,PA,8536c09b4efac35cc143ea8e9c4740eb,41.16629,-78.10994000000001,0
Andrea,4769426683924058915,2019-01-01 10:45:04,"fraud_Streich, Hansen and Veum",72.54,26572 Hodge Villages Suite 512,Mifflin,PA,73a3ea7a0aeaecc5796d55e3a70bd4d4,41.014694,-76.424014,0
Andrea,4769426683924058915,2019-01-01 23:39:06,fraud_Botsford PLC,30.55,26572 Hodge Villages Suite 512,Mifflin,PA,57ec9933bca465a28bcceb63ae0fba00,41.055773,-77.68542099999999,0
Andrea,4769426683924058915,2019-01-02 05:57:59,"fraud_Rippin, Kub and Mann",1.46,26572 Hodge Villages Suite 512,Mifflin,PA,603a68e9c1e5d4f676ee8db3e3139921,39.695349,-76.48931400000001,0
Andrea,4769426683924058915,2019-01-02 08:56:35,fraud_Howe Ltd,6.84,26572 Hodge Villages Suite 512,Mifflin,PA,b03a28d788b00a67055642d7adf4fe3b,40.680623,-77.237514,0
Andrea,4651007077623147,2019-01-02 10:49:30,fraud_Marks Inc,64.0,43075 Cohen Shoals,Ashford,WA,030afb50b795e048b7c1dcdbaadfdeb9,46.897445000000005,-122.506291,0
Andrea,213186334552049,2019-01-02 11:00:58,"fraud_Huel, Hammes and Witting",95.26,37426 Olson Villages,Irvine,PA,d5f8846d4f07a4b364e25fe946317c61,41.313226,-78.369872,0
Andrea,4651007077623147,2019-01-02 23:09:37,fraud_Schuppe-Schuppe,68.11,43075 Cohen Shoals,Ashford,WA,52154b677620ee9ab956b3855345b60a,46.193067,-121.231896,0
Andrea,213186334552049,2019-01-03 19:48:44,fraud_Morissette LLC,19.07,37426 Olson Villages,Irvine,PA,99f38cd0315c70d7b0f6f2013b7d92f4,42.359516,-79.748853,0
Andrea,4651007077623147,2019-01-03 21:33:32,fraud_Schaefer Ltd,42.13,43075 Cohen Shoals,Ashford,WA,e9ba8caf3d4184f639cfa5402d7a3009,45.818447,-121.927533,0
Andrea,4769426683924058915,2019-01-04 02:46:39,"fraud_Ferry, Lynch and Kautzer",4.31,26572 Hodge Villages Suite 512,Mifflin,PA,5dc525a697081d34ae9389a991425c09,39.947109000000005,-77.59908399999999,0
Andrea,4769426683924058915,2019-01-04 06:00:29,fraud_Jast-McDermott,14.63,26572 Hodge Villages Suite 512,Mifflin,PA,acfd6300aff62936ded2fe7c852949f4,40.213252,-76.82882,0
Andrea,4769426683924058915,2019-01-04 07:42:37,fraud_Jast-McDermott,6.0,26572 Hodge Villages Suite 512,Mifflin,PA,f663d277f042af263dd8e90972b9e44e,39.98827,-77.756353,0
Andrea,4651007077623147,2019-01-04 10:31:41,"fraud_Moen, Reinger and Murphy",93.01,43075 Cohen Shoals,Ashford,WA,cc3401c372975396a9f96194cca95806,47.543686,-121.75136,0
Andrea,4769426683924058915,2019-01-04 11:32:44,fraud_Heller-Langosh,56.97,26572 Hodge Villages Suite 512,Mifflin,PA,9e185425de917b943d076cc422fb7cb6,40.302119,-76.95144499999999,0
Andrea,4769426683924058915,2019-01-04 17:58:50,"fraud_Kling, Howe and Schneider",67.43,26572 Hodge Villages Suite 512,Mifflin,PA,a1740ec3a3e8def43472377f9a1ac697,41.405019,-77.12380300000001,0
Andrea,4651007077623147,2019-01-05 08:33:55,fraud_Gleason-Macejkovic,8.42,43075 Cohen Shoals,Ashford,WA,9cfec4d1b8ba1f70202341adb45905e4,47.053614,-122.353447,0
Andrea,4769426683924058915,2019-01-06 04:01:14,fraud_Schamberger-O'Keefe,151.76,26572 Hodge Villages Suite 512,Mifflin,PA,067a4eb02e1a1f275bd75130ef1a0220,41.483375,-76.602877,0
Andrea,4769426683924058915,2019-01-06 08:23:19,fraud_Torp-Labadie,82.67,26572 Hodge Villages Suite 512,Mifflin,PA,742b7c0665d6255ded82bccaa606311f,40.080302,-77.334868,0
Andrea,4651007077623147,2019-01-06 10:25:24,fraud_Schamberger-O'Keefe,139.23,43075 Cohen Shoals,Ashford,WA,7eb4dd32a380418e6e53322bab4fc4a3,47.176283000000005,-121.944039,0
Andrea,4651007077623147,2019-01-06 22:37:51,fraud_Romaguera and Sons,4.98,43075 Cohen Shoals,Ashford,WA,4baa845cf64e4e397e98d6f9bab4da70,47.387862,-121.231154,0
Andrea,4651007077623147,2019-01-06 23:14:36,"fraud_Fadel, Mertz and Rippin",6.83,43075 Cohen Shoals,Ashford,WA,963d6983c49540bdb717dd63c6469118,47.517389,-122.21836,0
Andrea,4769426683924058915,2019-01-07 04:52:04,"fraud_Lind, Huel and McClure",58.72,26572 Hodge Villages Suite 512,Mifflin,PA,a9b0c947a54647f0dbe9c8d93f772f4f,40.81922,-76.599274,0
Andrea,4769426683924058915,2019-01-07 06:53:47,fraud_Auer-West,1.16,26572 Hodge Villages Suite 512,Mifflin,PA,4d024fbe9a0cd9724a45bbdfa51977ed,40.167232,-77.94494399999999,0
Andrea,4651007077623147,2019-01-07 10:17:48,fraud_Jacobi and Sons,2.04,43075 Cohen Shoals,Ashford,WA,6d8a2caa6ffe35da6bbdd071cd51ea09,45.998796,-121.867654,0
Andrea,4769426683924058915,2019-01-07 12:24:23,fraud_Bins-Howell,8.47,26572 Hodge Villages Suite 512,Mifflin,PA,7a9ccbd47cedb0a0c9807502fc066469,39.657572,-78.062668,0
Andrea,4769426683924058915,2019-01-07 18:43:34,fraud_Crooks and Sons,66.49,26572 Hodge Villages Suite 512,Mifflin,PA,0ae8e414dd5af2c06ecd89e01466c09b,39.930587,-78.204832,0
Andrea,4651007077623147,2019-01-08 03:29:29,fraud_Mraz-Herzog,54.47,43075 Cohen Shoals,Ashford,WA,4ddd3c636ff985fb2f592ed34a0c43f1,47.430696000000005,-122.709061,0
Andrea,4769426683924058915,2019-01-08 08:23:32,fraud_O'Keefe-Hudson,131.54,26572 Hodge Villages Suite 512,Mifflin,PA,7d28e100273fb20137ba8136749f0f08,39.693095,-78.022467,0
Andrea,4769426683924058915,2019-01-08 12:11:35,fraud_Tillman LLC,9.01,26572 Hodge Villages Suite 512,Mifflin,PA,530d229577307a587d7f9cb91bce0d41,41.306464,-78.22617199999999,0
Andrea,4651007077623147,2019-01-08 16:56:01,fraud_Donnelly LLC,92.75,43075 Cohen Shoals,Ashford,WA,ed79a024658b5ff0892630d11b2c0396,47.490055,-121.089418,0
Andrea,213186334552049,2019-01-08 17:42:08,fraud_Kassulke Inc,185.95,37426 Olson Villages,Irvine,PA,f50e3d157fdbb1656a79789489ec80a2,42.513965,-78.362975,0
Andrea,4769426683924058915,2019-01-08 20:10:44,fraud_Goldner-Lemke,46.32,26572 Hodge Villages Suite 512,Mifflin,PA,d60659ddc750fa0d1d167e535145d49d,41.025419,-77.590642,0
Andrea,4769426683924058915,2019-01-08 21:22:22,"fraud_Haley, Batz and Auer",2.94,26572 Hodge Villages Suite 512,Mifflin,PA,575bf9c4de8bc9c8992f03dc0acb4193,39.681188,-78.375753,0
Andrea,213186334552049,2019-01-08 22:36:43,fraud_Auer LLC,26.84,37426 Olson Villages,Irvine,PA,27950ff9d657eb13d534944140910720,41.971934000000005,-78.760513,0
