first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Andrew,30273037698427,2019-01-01 00:55:05,fraud_Cummings LLC,57.23,06959 Stephen Branch Suite 246,Thida,AR,044fca5318d0550ed661b507b216f83c,36.144895,-92.188172,0
Andrew,503874407318,2019-01-01 04:34:51,"fraud_Lind, Huel and McClure",63.89,4130 Tiffany Glen Apt. 562,San Antonio,TX,5ef7adf6786b41be780a08212b32495e,28.740953,-99.391846,0
Andrew,30273037698427,2019-01-01 10:06:03,fraud_Skiles-Ankunding,36.52,06959 Stephen Branch Suite 246,Thida,AR,d5ff57efadeb2423551deb8cf761be2b,34.68178,-92.171994,0
Andrew,30273037698427,2019-01-01 14:03:23,fraud_Stark-Batz,75.65,06959 Stephen Branch Suite 246,Thida,AR,1fc1cc4538f16ff97df0d4c5c0f230ab,34.652594,-92.264138,0
Andrew,503874407318,2019-01-01 14:14:18,"fraud_Runolfsdottir, Mueller and Hand",40.75,4130 Tiffany Glen Apt. 562,San Antonio,TX,7d4f71c78267f01b54c92804a7aa1c80,29.165407,-98.012932,0
Andrew,503874407318,2019-01-01 20:49:42,fraud_Will Ltd,105.78,4130 Tiffany Glen Apt. 562,San Antonio,TX,dd25ad6eb8d19c91179b1aec1cd698f3,30.468436,-98.663858,0
Andrew,503874407318,2019-01-01 21:23:54,fraud_Dickinson-Rempel,92.64,4130 Tiffany Glen Apt. 562,San Antonio,TX,b3c21c15df76d9a71ed87fe75fe8d525,29.361914,-98.911457,0
Andrew,38797410705641,2019-01-02 03:09:44,fraud_Roberts-Beahan,33.8,583 Gray Creek,Oak Hill,NY,0df2c32f67d5323b92727be2bc80fbd1,42.940334,-74.172837,0
Andrew,503874407318,2019-01-02 11:49:04,fraud_Murray Ltd,28.43,4130 Tiffany Glen Apt. 562,San Antonio,TX,9c6c99ce4bf96caea86b150f95ab08a5,29.642642,-97.557834,0
Andrew,30273037698427,2019-01-02 12:34:14,fraud_Johns-Hoeger,71.44,06959 Stephen Branch Suite 246,Thida,AR,2262e7eb2a8217f1674c30a37acfd1b0,35.140442,-90.641861,0
Andrew,30273037698427,2019-01-02 16:06:16,"fraud_Schroeder, Hauck and Treutel",88.03,06959 Stephen Branch Suite 246,Thida,AR,0177a24d056ccb159ae2711acb178b1c,34.714905,-91.948969,0
