first,cc_num,trans_date_trans_time,merchant,amt,street,city,state,trans_num,merch_lat,merch_long,is_fraud
Angela,3543299015720986,2019-01-01 01:37:06,"fraud_Raynor, Reinger and Hagenes",64.72,137 Adam Dale,Lebanon,VA,395dc5bf20e1fd8cf0f0a5e51b816998,36.265214,-81.891953,0
Angela,4560395181594436016,2019-01-01 03:12:10,fraud_DuBuque LLC,176.57,6343 Ramirez Skyway Apt. 518,Lakeport,CA,26db4a0f3aa2089bd1823652cba9ece1,38.76254,-122.339375,0
Angela,3543299015720986,2019-01-01 04:22:26,fraud_Hermann-Gaylord,56.98,137 Adam Dale,Lebanon,VA,5fc9b5a9a63a8fc85e6ddc311d7545e0,37.867296,-81.335353,0
Angela,3543299015720986,2019-01-01 10:34:37,"fraud_Cremin, Hamill and Reichel",35.77,137 Adam Dale,Lebanon,VA,3a3ab0fef7387a91953aabb0cb68ddec,35.947276,-82.25974000000001,0
Angela,3543299015720986,2019-01-01 11:43:57,"fraud_Schultz, Simonis and Little",175.73,137 Adam Dale,Lebanon,VA,22cd662edbf0fcadf06985a74c68d862,36.89482,-82.11801899999999,0
Angela,3543299015720986,2019-01-01 12:46:44,"fraud_Turcotte, Batz and Buckridge",12.93,137 Adam Dale,Lebanon,VA,983dd96d330943316c16542ef3b013e4,36.352098,-82.61206700000001,0
Angela,3543299015720986,2019-01-01 13:31:20,fraud_Ernser-Lynch,45.29,137 Adam Dale,Lebanon,VA,cd259a57fe1910de56faf6da7382ecc9,37.309526,-81.38819699999999,0
Angela,3543299015720986,2019-01-01 14:13:13,fraud_Kub-Heaney,10.85,137 Adam Dale,Lebanon,VA,86fc0bf4e98c32c2fffbd78591d96bab,35.977974,-82.742254,0
Angela,3543299015720986,2019-01-01 14:25:58,"fraud_Denesik, Powlowski and Pouros",14.78,137 Adam Dale,Lebanon,VA,7e5b00136d665050598dabf406ef5b8c,37.302767,-82.016898,0
Angela,4560395181594436016,2019-01-01 15:16:04,fraud_Daugherty LLC,35.73,6343 Ramirez Skyway Apt. 518,Lakeport,CA,d717895c2edd4194db593042115b5ffb,38.861761,-122.280117,0
Angela,4477156602511939689,2019-01-01 15:55:04,fraud_Padberg-Sauer,33.18,0107 Clements Point,American Fork,UT,5ee8f211c3d432db82c74db186364ea5,39.943235,-111.485104,0
Angela,4550599031376731,2019-01-01 17:31:00,fraud_Emmerich-Rau,42.26,9471 Wong Islands,Mansfield,OH,0f17fe36e0663acb011b6d21e7de2240,41.653016,-83.187658,0
Angela,4560395181594436016,2019-01-01 18:20:38,fraud_Fisher Inc,1.92,6343 Ramirez Skyway Apt. 518,Lakeport,CA,af5011d8e7cb6cc9c9bef96a9ad83195,38.519133,-123.181343,0
Angela,4560395181594436016,2019-01-01 18:47:23,fraud_Larson-Moen,177.71,6343 Ramirez Skyway Apt. 518,Lakeport,CA,25c7f72b9e39d74e64e95bb657356f8d,39.494149,-122.893021,0
Angela,4477156602511939689,2019-01-01 19:48:03,"fraud_Pouros, Walker and Spencer",3.51,0107 Clements Point,American Fork,UT,2c2d62c3b52ef131bc198b194d7b6838,40.580639,-112.753756,0
